depth (m),temperature (degC),temperature (degC),temperatureComposite (degC),depth (m),TOC (percent),depth (m),temperature (degC),Uk37 (missing),depth (m),CaCO3 (percent)
NA,NA,NA,NA,13.365,0.483,14.445,26.024,0.899,13.365,4.788
NA,NA,NA,NA,13.385,0.608,14.465,25.578,0.885,13.385,5.501
NA,NA,NA,NA,13.405,0.451,14.485,25.449,0.881,13.405,7.258
NA,NA,NA,NA,13.425,0.459,14.505,26.036,0.899,13.425,7.538
NA,NA,NA,NA,13.445,0.46,14.525,26.342,0.909,13.445,4.835
NA,NA,NA,NA,13.465,0.494,14.545,26.055,0.9,13.465,4.803
NA,NA,NA,NA,13.485,0.557,14.565,25.8,0.892,13.485,4.033
NA,NA,NA,NA,13.505,0.467,14.605,25.972,0.897,13.505,4.448
NA,NA,NA,NA,13.525,0.506,14.625,25.543,0.884,13.525,3.454
NA,NA,NA,NA,13.545,0.397,14.645,25.511,0.883,13.545,4.681
NA,NA,NA,NA,13.565,0.422,14.665,25.969,0.897,13.565,4.642
NA,NA,NA,NA,13.585,0.349,14.685,26.042,0.899,13.585,7.919
NA,NA,NA,NA,13.605,0.474,14.705,25.988,0.898,13.605,8.85
NA,NA,NA,NA,13.625,0.526,14.745,25.932,0.896,13.625,6.47
NA,NA,NA,NA,13.645,0.506,14.785,26.192,0.904,13.645,2.8
NA,NA,NA,NA,13.665,0.457,14.805,26.143,0.902,13.665,6.72
NA,NA,NA,NA,13.685,0.447,14.825,25.966,0.897,13.685,6.788
NA,NA,NA,NA,13.705,0.532,14.845,26.047,0.9,13.705,7.031
NA,NA,NA,NA,13.725,0.52,14.865,26.007,0.898,13.725,6.558
NA,NA,NA,NA,13.745,0.458,14.885,26.279,0.907,13.745,6.435
NA,NA,NA,NA,13.765,0.459,14.905,25.912,0.895,13.765,5.476
NA,NA,NA,NA,13.785,0.573,14.925,25.451,0.881,13.785,4.838
NA,NA,NA,NA,13.805,0.581,14.945,26.278,0.907,13.805,4.942
NA,NA,NA,NA,13.825,0.473,14.965,26.119,0.902,13.825,6.715
NA,NA,NA,NA,13.845,0.481,14.985,26.373,0.91,13.845,4.926
NA,NA,NA,NA,13.865,0.586,15.005,26.261,0.906,13.865,5.116
NA,NA,NA,NA,13.885,0.596,15.025,26.575,0.916,13.885,4.067
NA,NA,NA,NA,13.905,0.311,15.045,25.908,0.895,13.905,4.116
NA,NA,NA,NA,13.925,0.45,15.065,26.55,0.915,13.925,5.078
NA,NA,NA,NA,13.945,0.504,15.085,26.482,0.913,13.945,4.596
NA,NA,NA,NA,13.965,0.485,15.105,26.837,0.924,13.965,4.47
NA,NA,NA,NA,13.985,0.425,15.125,26.663,0.919,13.985,5.972
NA,NA,NA,NA,14.005,0.458,15.145,26.817,0.923,14.005,3.22
NA,NA,NA,NA,14.025,0.458,15.165,26.889,0.926,14.025,3.418
NA,NA,NA,NA,14.045,0.389,15.185,26.782,0.922,14.045,4.542
NA,NA,NA,NA,14.065,0.449,15.205,26.556,0.915,14.065,4.722
NA,NA,NA,NA,14.085,0.342,15.225,26.699,0.92,14.085,5.168
NA,NA,NA,NA,14.105,0.524,15.245,26.272,0.906,14.105,6.08
NA,NA,NA,NA,14.125,0.516,15.265,26.554,0.915,14.125,5.825
NA,NA,NA,NA,14.145,0.559,15.285,26.452,0.912,14.145,5.758
NA,NA,NA,NA,14.165,0.448,15.305,26.297,0.907,14.165,5.156
NA,NA,NA,NA,14.185,0.59,15.325,26.024,0.899,14.185,5.357
NA,NA,NA,NA,14.205,0.522,15.345,26.588,0.916,14.205,4.517
NA,NA,NA,NA,14.225,0.556,15.365,26.182,0.904,14.225,4.86
NA,NA,NA,NA,14.245,0.449,15.385,26.202,0.904,14.245,4.264
NA,NA,NA,NA,14.265,0.544,15.405,25.936,0.896,14.265,5.566
NA,NA,NA,NA,14.285,0.562,15.425,26.543,0.915,14.285,4.033
NA,NA,NA,NA,14.305,0.458,15.445,26.06,0.9,14.305,3.097
NA,NA,NA,NA,14.325,0.464,15.465,25.993,0.898,14.325,4.291
NA,NA,NA,NA,14.345,0.451,15.485,25.831,0.893,14.345,4.282
NA,NA,NA,NA,14.365,0.574,15.505,26.161,0.903,14.365,6.325
NA,NA,NA,NA,14.385,0.455,15.525,26.242,0.906,14.385,4.455
NA,NA,NA,NA,14.405,0.305,15.545,26.689,0.919,14.405,5.678
NA,NA,NA,NA,14.425,0.418,15.585,26.814,0.923,14.425,5.723
NA,NA,NA,NA,14.445,0.494,15.605,26.486,0.913,14.445,4.958
NA,NA,NA,NA,14.465,0.509,15.625,26.832,0.924,14.465,5.361
NA,NA,NA,NA,14.485,0.417,15.645,26.586,0.916,14.485,5.116
NA,NA,NA,NA,14.505,0.43,15.665,26.867,0.925,14.505,6.033
NA,NA,NA,NA,14.525,0.449,15.685,26.94,0.927,14.525,6.275
NA,NA,NA,NA,14.545,0.513,15.705,26.888,0.926,14.545,4.893
NA,NA,NA,NA,14.565,0.44,15.725,26.625,0.917,14.565,4.376
NA,NA,NA,NA,14.585,0.558,15.745,26.908,0.926,14.585,5.791
NA,NA,NA,NA,14.605,0.514,15.765,26.539,0.915,14.605,5.925
NA,NA,NA,NA,14.625,0.445,15.785,26.985,0.929,14.625,6.728
NA,NA,NA,NA,14.645,0.548,15.825,26.647,0.918,14.645,6.225
NA,NA,NA,NA,14.665,0.513,15.845,26.936,0.927,14.665,4.217
NA,NA,NA,NA,14.685,0.578,15.865,26.301,0.907,14.685,5.492
NA,NA,NA,NA,14.705,0.392,15.885,26.537,0.915,14.705,7.008
NA,NA,NA,NA,14.725,0.545,15.905,26.313,0.908,14.725,6.275
NA,NA,NA,NA,14.745,0.557,15.925,26.451,0.912,14.745,6.594
NA,NA,NA,NA,14.765,0.533,15.945,26.272,0.906,14.765,5.525
NA,NA,NA,NA,14.785,0.437,15.965,26.712,0.92,14.785,6.269
NA,NA,NA,NA,14.805,0.449,15.985,26.448,0.912,14.805,5.099
NA,NA,NA,NA,14.825,0.603,16.005,25.913,0.895,14.825,4.576
NA,NA,NA,NA,14.845,0.442,16.025,26.536,0.915,14.845,5.516
NA,NA,NA,NA,14.865,0.719,16.045,26.563,0.916,14.865,6.192
NA,NA,NA,NA,14.885,0.446,16.065,26.434,0.912,14.885,6.575
NA,NA,NA,NA,14.905,0.765,16.085,27.06,0.931,14.905,5.347
NA,NA,NA,NA,14.925,0.41,16.105,26.408,0.911,14.925,4.626
NA,NA,NA,NA,14.945,0.458,16.125,26.732,0.921,14.945,8.026
NA,NA,NA,NA,14.965,0.499,16.145,26.455,0.912,14.965,5.875
NA,NA,NA,NA,14.985,0.46,16.165,27.097,0.932,14.985,6.863
NA,NA,NA,NA,15.005,0.422,16.185,26.552,0.915,15.005,5.486
NA,NA,NA,NA,15.025,0.65,16.205,26.907,0.926,15.025,4.949
NA,NA,NA,NA,15.045,0.529,16.225,26.758,0.922,15.045,8.292
NA,NA,NA,NA,15.065,0.555,16.245,27.018,0.93,15.065,5.817
NA,NA,NA,NA,15.085,0.503,16.265,26.806,0.923,15.085,7.154
NA,NA,NA,NA,15.105,0.484,16.285,26.591,0.916,15.105,5.941
NA,NA,NA,NA,15.125,0.547,16.305,26.975,0.928,15.125,7.217
NA,NA,NA,NA,15.145,0.667,16.325,27.046,0.93,15.145,6.486
NA,NA,NA,NA,15.165,0.436,16.345,27.106,0.932,15.165,6.807
NA,NA,NA,NA,15.185,0.501,16.365,27.134,0.933,15.185,7.1
NA,NA,NA,NA,15.205,0.503,16.385,27.163,0.934,15.205,8.192
NA,NA,NA,NA,15.225,0.806,16.405,26.733,0.921,15.225,3.8
NA,NA,NA,NA,15.245,0.384,16.445,27.071,0.931,15.245,6.68
NA,NA,NA,NA,15.265,0.771,16.465,27.188,0.935,15.265,4.941
NA,NA,NA,NA,15.285,0.546,16.505,27.165,0.934,15.285,6.358
NA,NA,NA,NA,15.305,0.5,16.525,26.75,0.921,15.305,6.598
NA,NA,NA,NA,15.325,0.428,16.545,27.232,0.936,15.325,5.521
NA,NA,NA,NA,15.345,0.529,16.585,27.147,0.934,15.345,6.458
NA,NA,NA,NA,15.365,0.591,16.605,26.769,0.922,15.365,5.208
NA,NA,NA,NA,15.385,0.381,16.625,26.827,0.924,15.385,6.567
NA,NA,NA,NA,15.405,0.452,16.645,26.732,0.921,15.405,5.597
NA,NA,NA,NA,15.425,0.418,16.665,26.614,0.917,15.425,7.086
NA,NA,NA,NA,15.445,0.537,16.685,26.813,0.923,15.445,6.108
NA,NA,NA,NA,15.465,0.374,16.705,26.356,0.909,15.465,6.003
NA,NA,NA,NA,15.485,0.419,16.725,26.177,0.904,15.485,4.664
NA,NA,NA,NA,15.505,0.283,16.765,25.831,0.893,15.505,4.908
NA,NA,NA,NA,15.525,0.458,16.785,26.263,0.906,15.525,3.925
NA,NA,NA,NA,15.545,0.082,16.805,26.371,0.91,15.545,1.705
NA,NA,NA,NA,15.565,0.039,16.825,26.065,0.9,15.565,0.333
NA,NA,NA,NA,15.605,0.521,16.845,25.918,0.896,15.605,7.767
NA,NA,NA,NA,15.625,0.577,16.865,25.936,0.896,15.625,6.562
NA,NA,NA,NA,15.645,0.394,16.885,25.322,0.877,15.645,7.891
NA,NA,NA,NA,15.665,0.401,16.905,25.821,0.892,15.665,8.928
NA,NA,NA,NA,15.725,0.499,16.925,25.91,0.895,15.725,4.754
NA,NA,NA,NA,15.745,0.437,16.945,25.71,0.889,15.745,10.343
NA,NA,NA,NA,15.765,0.447,16.985,25.942,0.896,15.765,10.5
NA,NA,NA,NA,15.785,0.527,17.005,25.878,0.894,15.785,8.703
NA,NA,NA,NA,15.825,0.634,17.025,25.721,0.889,15.825,4.488
NA,NA,NA,NA,15.845,0.537,17.045,25.986,0.898,15.845,7.842
NA,NA,NA,NA,15.865,0.447,17.065,26.175,0.903,15.865,9.999
NA,NA,NA,NA,15.885,0.377,17.085,26.522,0.914,15.885,8.443
NA,NA,NA,NA,15.925,0.385,17.105,26.23,0.905,15.925,7.532
NA,NA,NA,NA,15.965,0.4,17.125,25.832,0.893,15.965,10.321
NA,NA,NA,NA,16.005,0.359,17.145,26.336,0.908,16.005,12.123
NA,NA,NA,NA,16.045,0.402,17.165,26.291,0.907,16.045,11.693
NA,NA,NA,NA,16.085,0.369,17.185,26.722,0.92,16.085,14.772
NA,NA,NA,NA,16.125,0.422,17.205,26.522,0.914,16.125,13.068
NA,NA,NA,NA,16.145,0.593,17.225,27.152,0.934,16.145,12.367
NA,NA,NA,NA,16.165,0.496,17.245,26.501,0.914,16.165,11.679
NA,NA,NA,NA,16.185,0.474,17.265,26.833,0.924,16.185,17.008
NA,NA,NA,NA,16.205,0.372,17.285,26.889,0.926,16.205,12.519
NA,NA,NA,NA,16.285,0.492,17.305,26.895,0.926,16.285,10.125
NA,NA,NA,NA,16.325,0.366,17.325,26.604,0.917,16.325,18.237
NA,NA,NA,NA,16.405,0.441,17.345,26.929,0.927,16.405,17.533
NA,NA,NA,NA,16.445,0.385,17.365,26.961,0.928,16.445,13.925
NA,NA,NA,NA,16.465,0.256,17.385,26.818,0.923,16.465,14.991
NA,NA,NA,NA,16.485,0.434,17.405,26.801,0.923,16.485,14.154
NA,NA,NA,NA,16.525,0.436,17.425,26.781,0.922,16.525,10.192
NA,NA,NA,NA,16.565,0.437,17.445,27.033,0.93,16.565,12.188
NA,NA,NA,NA,16.585,0.355,17.465,27.027,0.93,16.585,14.048
NA,NA,NA,NA,16.605,0.462,17.485,26.862,0.925,16.605,13.067
NA,NA,NA,NA,16.645,0.377,17.505,26.966,0.928,16.645,10.499
NA,NA,NA,NA,16.665,0.51,17.525,26.692,0.92,16.665,10.286
NA,NA,NA,NA,16.685,0.44,17.545,26.896,0.926,16.685,10.742
NA,NA,NA,NA,16.725,0.384,17.585,26.945,0.927,16.725,10.409
NA,NA,NA,NA,16.765,0.422,17.605,27.113,0.933,16.765,11.258
NA,NA,NA,NA,16.785,0.261,17.625,27.157,0.934,16.785,11.06
NA,NA,NA,NA,16.805,0.463,17.645,26.695,0.92,16.805,8.069
NA,NA,NA,NA,16.845,0.345,17.665,27.194,0.935,16.845,10.842
NA,NA,NA,NA,16.885,0.361,17.685,26.786,0.922,16.885,10.033
NA,NA,NA,NA,16.925,0.427,17.705,27.153,0.934,16.925,7.842
NA,NA,NA,NA,16.965,0.409,17.725,26.915,0.926,16.965,7.474
NA,NA,NA,NA,17.005,0.435,17.745,27.099,0.932,17.005,7.892
NA,NA,NA,NA,17.045,0.349,17.765,27.058,0.931,17.045,8.717
NA,NA,NA,NA,17.125,0.433,17.805,27.395,0.941,17.125,10.197
NA,NA,NA,NA,17.165,0.468,17.825,27.152,0.934,17.165,11.9
NA,NA,NA,NA,17.205,0.462,17.845,27.248,0.937,17.205,11.569
NA,NA,NA,NA,17.245,0.5,17.865,27.186,0.935,17.245,11.825
NA,NA,NA,NA,17.285,0.48,17.885,27.178,0.935,17.285,11.468
NA,NA,NA,NA,17.325,0.432,17.905,27.114,0.933,17.325,11.858
NA,NA,NA,NA,17.365,0.415,17.925,27.37,0.941,17.365,12.265
NA,NA,NA,NA,17.405,0.448,17.945,27.324,0.939,17.405,12.633
NA,NA,NA,NA,17.445,0.48,17.965,27.289,0.938,17.445,9.877
NA,NA,NA,NA,17.485,0.414,17.985,27.358,0.94,17.485,11.358
NA,NA,NA,NA,17.525,0.421,18.005,27.243,0.937,17.525,9.102
NA,NA,NA,NA,17.565,0.424,18.025,27.13,0.933,17.565,10.95
NA,NA,NA,NA,17.605,0.416,18.045,27.11,0.932,17.605,9.955
NA,NA,NA,NA,17.645,0.487,18.065,27.224,0.936,17.645,11.117
NA,NA,NA,NA,17.685,0.369,18.085,27.167,0.934,17.685,10.347
NA,NA,NA,NA,17.725,0.476,18.105,26.899,0.926,17.725,10.292
NA,NA,NA,NA,17.765,0.444,18.125,27.335,0.939,17.765,10.624
NA,NA,NA,NA,17.805,0.423,18.145,27.457,0.943,17.805,10.808
NA,NA,NA,NA,17.885,0.438,18.165,27.104,0.932,17.885,9.7
NA,NA,NA,NA,17.925,0.443,18.185,27.306,0.939,17.925,11.907
NA,NA,NA,NA,17.965,0.461,18.205,27.56,0.946,17.965,12.758
NA,NA,NA,NA,18.005,0.435,18.225,27.333,0.939,18.005,11.574
NA,NA,NA,NA,18.045,0.366,18.245,27.185,0.935,18.045,13.258
NA,NA,NA,NA,18.085,0.455,18.265,27.26,0.937,18.085,13.166
NA,NA,NA,NA,18.125,0.46,18.285,27.316,0.939,18.125,13.292
NA,NA,NA,NA,18.165,0.409,18.305,27.466,0.943,18.165,14.779
NA,NA,NA,NA,18.205,0.477,18.325,27.078,0.931,18.205,16.45
NA,NA,NA,NA,18.245,0.438,18.345,27.395,0.941,18.245,14.254
NA,NA,NA,NA,18.285,0.42,18.365,27.707,0.951,18.285,13.367
NA,NA,NA,NA,18.325,0.394,18.385,27.396,0.941,18.325,14.124
NA,NA,NA,NA,18.365,0.402,18.405,27.22,0.936,18.365,15.633
NA,NA,NA,NA,18.405,0.344,18.425,27.441,0.943,18.405,19.283
NA,NA,NA,NA,18.445,0.391,18.445,27.533,0.946,18.445,17.767
NA,NA,NA,NA,18.485,0.422,18.465,27.441,0.943,18.485,17.192
NA,NA,NA,NA,18.525,0.452,18.485,27.292,0.938,18.525,13.075
NA,NA,NA,NA,18.565,0.382,18.505,27.385,0.941,18.565,20.026
NA,NA,NA,NA,18.605,0.465,18.525,27.309,0.939,18.605,17.358
NA,NA,NA,NA,18.645,0.299,18.545,27.27,0.937,18.645,21.367
NA,NA,NA,NA,18.685,0.387,18.565,27.468,0.944,18.685,17.833
NA,NA,NA,NA,18.725,0.336,18.585,27.324,0.939,18.725,18.416
NA,NA,NA,NA,18.765,0.438,18.605,27.556,0.946,18.765,16.183
NA,NA,NA,NA,18.805,0.25,18.625,27.374,0.941,18.805,17.743
NA,NA,NA,NA,18.845,0.412,18.665,27.085,0.932,18.845,12.55
NA,NA,NA,NA,18.885,0.308,18.685,27.494,0.944,18.885,15.103
NA,NA,NA,NA,18.925,0.454,18.705,26.833,0.924,18.925,17.317
NA,NA,NA,NA,18.965,0.359,18.725,26.587,0.916,18.965,14.486
NA,NA,NA,NA,19.005,0.511,18.745,26.53,0.914,19.005,14.642
NA,NA,NA,NA,19.045,0.378,18.765,25.93,0.896,19.045,16.752
NA,NA,NA,NA,19.085,0.451,18.785,26.599,0.917,19.085,14.975
NA,NA,NA,NA,19.125,0.381,18.805,26.313,0.908,19.125,14.446
NA,NA,NA,NA,19.165,0.506,18.825,26.343,0.909,19.165,12.575
NA,NA,NA,NA,19.205,0.405,18.845,26.764,0.922,19.205,12.548
NA,NA,NA,NA,19.245,0.427,18.865,26.535,0.915,19.245,8.55
NA,NA,NA,NA,19.285,0.371,18.885,26.349,0.909,19.285,9.451
NA,NA,NA,NA,19.325,0.467,18.905,26.991,0.929,19.325,7.517
NA,NA,NA,NA,19.365,0.324,18.925,26.727,0.921,19.365,9.001
NA,NA,NA,NA,19.405,0.435,18.945,26.866,0.925,19.405,8.525
NA,NA,NA,NA,19.445,0.385,18.965,26.731,0.921,19.445,8.512
NA,NA,NA,NA,19.485,0.451,18.985,27.222,0.936,19.485,7.708
NA,NA,NA,NA,19.525,0.39,19.005,27.375,0.941,19.525,8.422
NA,NA,NA,NA,19.565,0.502,19.025,27.085,0.932,19.565,6.142
NA,NA,NA,NA,19.605,0.366,19.045,26.761,0.922,19.605,8.57
NA,NA,NA,NA,19.645,0.428,19.065,27.145,0.934,19.645,7.683
NA,NA,NA,NA,19.685,0.409,19.085,27.298,0.938,19.685,8.303
NA,NA,NA,NA,19.725,0.453,19.105,27.13,0.933,19.725,9.2
NA,NA,NA,NA,19.765,0.38,19.125,26.625,0.917,19.765,9.301
NA,NA,NA,NA,19.805,0.411,19.145,27.062,0.931,19.805,6.817
NA,NA,NA,NA,19.845,0.384,19.165,26.813,0.923,19.845,9.436
NA,NA,NA,NA,19.885,0.567,19.185,26.477,0.913,19.885,7.217
NA,NA,NA,NA,19.925,0.639,19.205,26.258,0.906,19.925,8.139
NA,NA,NA,NA,19.965,0.61,19.225,26.356,0.909,19.965,6.125
NA,NA,NA,NA,20.005,0.461,19.245,26.249,0.906,20.005,5.46
NA,NA,NA,NA,20.045,0.499,19.265,26.282,0.907,20.045,6.258
NA,NA,NA,NA,20.085,0.514,19.285,25.935,0.896,20.085,4.3
NA,NA,NA,NA,20.125,0.566,19.305,25.42,0.88,20.125,6.792
NA,NA,NA,NA,20.165,0.526,19.325,25.592,0.885,20.165,5.836
NA,NA,NA,NA,20.205,0.559,19.345,25.823,0.893,20.205,8.075
NA,NA,NA,NA,20.245,0.521,19.365,26.168,0.903,20.245,6.883
NA,NA,NA,NA,20.285,0.851,19.385,26.337,0.908,20.285,4.675
NA,NA,NA,NA,20.325,0.742,19.405,26.176,0.904,20.325,8.185
NA,NA,NA,NA,20.365,1.135,19.425,26.685,0.919,20.365,7.908
NA,NA,NA,NA,20.405,0.491,19.445,26.902,0.926,20.405,9.771
NA,NA,NA,NA,20.445,0.538,19.465,26.724,0.921,20.445,10.667
NA,NA,NA,NA,20.485,0.665,19.485,26.702,0.92,20.485,13.408
NA,NA,NA,NA,20.525,0.499,19.505,26.997,0.929,20.525,13.292
NA,NA,NA,NA,20.565,0.551,19.525,27.168,0.934,20.565,11.554
NA,NA,NA,NA,20.605,0.736,19.545,27.11,0.932,20.605,17.392
NA,NA,NA,NA,20.645,0.706,19.565,26.861,0.925,20.645,13.902
NA,NA,NA,NA,20.685,0.499,19.585,27.162,0.934,20.685,15.283
NA,NA,NA,NA,20.725,0.572,19.605,27.556,0.946,20.725,16.267
NA,NA,NA,NA,20.765,0.481,19.625,27.208,0.935,20.765,15.892
NA,NA,NA,NA,20.805,0.646,19.645,27.662,0.95,20.805,15.604
NA,NA,NA,NA,20.845,0.447,19.665,27.401,0.941,20.845,15.775
NA,NA,NA,NA,20.885,0.487,19.685,27.696,0.951,20.885,15.748
NA,NA,NA,NA,20.925,0.442,19.705,27.661,0.95,20.925,17.033
NA,NA,NA,NA,20.965,0.436,19.725,27.702,0.951,20.965,19.756
NA,NA,NA,NA,21.005,0.393,19.745,27.319,0.939,21.005,19.175
NA,NA,NA,NA,21.045,0.342,19.765,27.935,0.958,21.045,23.289
NA,NA,NA,NA,21.085,0.425,19.785,27.475,0.944,21.085,23.8
NA,NA,NA,NA,21.125,0.296,19.805,27.844,0.955,21.125,23.196
NA,NA,NA,NA,21.165,0.397,19.825,27.486,0.944,21.165,21.575
NA,NA,NA,NA,21.245,0.371,19.845,27.625,0.948,21.245,24.117
NA,NA,NA,NA,21.285,0.349,19.865,27.543,0.946,21.285,25.608
NA,NA,NA,NA,21.325,0.38,19.905,27.591,0.947,21.325,24.467
NA,NA,NA,NA,21.365,0.349,19.925,27.688,0.95,21.365,24.058
NA,NA,NA,NA,21.405,0.398,19.945,27.653,0.949,21.405,18.658
NA,NA,NA,NA,21.445,0.351,19.965,27.767,0.953,21.445,21.4
NA,NA,NA,NA,21.485,0.337,19.985,27.914,0.957,21.485,16.875
NA,NA,NA,NA,21.525,0.363,20.005,27.666,0.95,21.525,16.225
NA,NA,NA,NA,21.565,0.359,20.025,27.935,0.958,21.565,16.992
NA,NA,NA,NA,21.605,0.364,20.045,27.782,0.953,21.605,17.62
NA,NA,NA,NA,21.645,0.41,20.065,28.177,0.966,21.645,16.758
NA,NA,NA,NA,21.685,0.396,20.085,27.721,0.951,21.685,19.311
NA,NA,NA,NA,21.725,0.457,20.105,28.172,0.965,21.725,14.358
NA,NA,NA,NA,21.765,0.421,20.125,27.973,0.959,21.765,15.819
NA,NA,NA,NA,21.805,0.475,20.145,28.121,0.964,21.805,14.833
NA,NA,NA,NA,21.845,0.447,20.165,27.826,0.955,21.845,16.464
NA,NA,NA,NA,21.885,0.494,20.185,28.114,0.964,21.885,15.675
NA,NA,NA,NA,21.925,0.46,20.205,28.125,0.964,21.925,16.238
NA,NA,NA,NA,21.965,0.502,20.225,28.194,0.966,21.965,14.483
NA,NA,NA,NA,22.005,0.434,20.245,28.161,0.965,22.005,16.24
NA,NA,NA,NA,22.045,0.515,20.265,28.457,0.974,22.045,13.7
NA,NA,NA,NA,22.085,0.464,20.285,28.258,0.968,22.085,9.486
NA,NA,NA,NA,22.125,0.554,20.305,28.366,0.971,22.125,10.358
NA,NA,NA,NA,22.165,0.479,20.325,28.348,0.971,22.165,10.124
NA,NA,NA,NA,22.205,0.514,20.345,28.452,0.974,22.205,4.258
NA,NA,NA,NA,22.245,0.517,20.365,28.362,0.971,22.245,7.804
NA,NA,NA,NA,22.285,0.551,20.385,28.43,0.973,22.285,4.775
NA,NA,NA,NA,22.325,0.553,20.405,28.547,0.977,22.325,2.455
NA,NA,NA,NA,22.365,0.623,20.425,28.395,0.972,22.365,3.042
NA,NA,NA,NA,22.405,0.509,20.445,28.397,0.972,22.405,5.491
NA,NA,NA,NA,22.445,0.608,20.485,28.921,0.989,22.445,4.375
NA,NA,NA,NA,22.485,0.607,20.505,28.832,0.986,22.485,3.868
NA,NA,NA,NA,22.525,0.608,20.525,28.557,0.977,22.525,3.758
NA,NA,NA,NA,22.565,0.52,20.545,28.546,0.977,22.565,3.599
NA,NA,NA,NA,22.605,0.598,20.565,28.719,0.982,22.605,3.25
NA,NA,NA,NA,22.645,0.504,20.585,28.814,0.985,22.645,4.555
NA,NA,NA,NA,22.685,0.578,20.605,28.662,0.981,22.685,3.658
NA,NA,NA,NA,22.725,0.693,20.625,28.716,0.982,22.725,3.432
NA,NA,NA,NA,22.765,0.629,20.645,28.506,0.976,22.765,3.2
NA,NA,NA,NA,22.805,0.636,20.665,28.756,0.983,22.805,3.908
NA,NA,NA,NA,22.845,0.644,20.685,28.731,0.983,22.845,3.367
NA,NA,NA,NA,22.885,0.602,20.705,28.726,0.983,22.885,3.97
NA,NA,NA,NA,22.925,0.622,20.725,28.622,0.979,22.925,3
NA,NA,NA,NA,22.965,0.57,20.745,28.742,0.983,22.965,4.205
NA,NA,NA,NA,23.005,0.602,20.765,28.604,0.979,23.005,4.2
NA,NA,NA,NA,23.045,0.662,20.785,28.822,0.986,23.045,3.257
NA,NA,NA,NA,23.085,0.647,20.805,28.774,0.984,23.085,3.975
NA,NA,NA,NA,23.125,0.655,20.825,28.896,0.988,23.125,2.706
NA,NA,NA,NA,23.165,0.685,20.845,28.487,0.975,23.165,3.433
NA,NA,NA,NA,23.225,0.538,20.865,28.501,0.976,23.225,3.789
NA,NA,NA,NA,23.245,0.57,20.885,28.164,0.965,23.245,4.625
NA,NA,NA,NA,23.285,0.625,20.905,28.672,0.981,23.285,3.239
NA,NA,NA,NA,23.325,0.68,20.925,28.353,0.971,23.325,2.192
NA,NA,NA,NA,23.365,0.685,20.945,28.758,0.984,23.365,3.017
NA,NA,NA,NA,23.405,0.763,20.965,28.586,0.978,23.405,2.325
NA,NA,NA,NA,23.445,0.715,20.985,28.463,0.974,23.445,3.011
NA,NA,NA,NA,23.485,0.739,21.005,28.013,0.96,23.485,3.15
NA,NA,NA,NA,23.525,0.745,21.025,28.685,0.981,23.525,3.072
NA,NA,NA,NA,23.565,0.756,21.045,28.269,0.968,23.565,2.658
NA,NA,NA,NA,23.605,0.662,21.065,28.207,0.966,23.605,3.119
NA,NA,NA,NA,23.645,0.684,21.085,27.896,0.957,23.645,3.15
NA,NA,NA,NA,23.685,0.64,21.105,27.94,0.958,23.685,3.888
NA,NA,NA,NA,23.725,0.697,21.125,27.759,0.953,23.725,4.842
NA,NA,NA,NA,23.765,0.578,21.145,28.664,0.981,23.765,3.124
NA,NA,NA,NA,23.785,0.586,21.165,28.61,0.979,23.785,3.192
NA,NA,NA,NA,23.825,0.586,21.185,28.742,0.983,23.825,3.25
NA,NA,NA,NA,23.865,0.536,21.205,28.554,0.977,23.865,5.925
NA,NA,NA,NA,23.905,0.574,21.225,28.764,0.984,23.905,4.099
NA,NA,NA,NA,23.945,0.518,21.245,28.354,0.971,23.945,4.458
NA,NA,NA,NA,23.985,0.64,21.265,28.686,0.981,23.985,2.883
NA,NA,NA,NA,24.025,0.569,21.285,28.42,0.973,24.025,4.658
NA,NA,NA,NA,24.065,0.564,21.305,28.739,0.983,24.065,5.825
NA,NA,NA,NA,24.105,0.612,21.325,28.573,0.978,24.105,4.608
NA,NA,NA,NA,24.145,0.558,21.345,28.542,0.977,24.145,6.251
NA,NA,NA,NA,24.185,0.637,21.365,28.461,0.974,24.185,3.467
NA,NA,NA,NA,24.225,0.602,21.385,28.624,0.979,24.225,4.696
NA,NA,NA,NA,24.265,0.523,21.405,28.236,0.967,24.265,5.192
NA,NA,NA,NA,24.305,0.597,21.425,28.556,0.977,24.305,3.694
NA,NA,NA,NA,24.345,0.548,21.445,27.412,0.942,24.345,5.175
NA,NA,NA,NA,24.385,0.556,21.485,28.174,0.965,24.385,4.533
NA,NA,NA,NA,24.425,0.596,21.505,28.174,0.965,24.425,4.342
NA,NA,NA,NA,24.465,0.572,21.525,26.83,0.924,24.465,4.737
NA,NA,NA,NA,24.505,0.599,21.545,27.559,0.946,24.505,4.533
NA,NA,NA,NA,24.545,0.592,21.585,27.545,0.946,24.545,3.907
NA,NA,NA,NA,24.585,0.553,21.625,27.357,0.94,24.585,5.525
NA,NA,NA,NA,24.625,0.535,21.665,27.125,0.933,24.625,6.241
NA,NA,NA,NA,24.665,0.502,21.685,26.977,0.928,24.665,6.608
NA,NA,NA,NA,24.705,0.529,21.705,27.153,0.934,24.705,5.659
NA,NA,NA,NA,24.745,0.508,21.725,27.259,0.937,24.745,5.658
NA,NA,NA,NA,24.785,0.547,21.745,27.059,0.931,24.785,5.217
NA,NA,NA,NA,24.825,0.512,21.765,26.889,0.926,24.825,5.033
