depth (m),year (AD),age (BP),d18O (d18O)
198.87,-2094.4,4044.4,-40.9
198.96,-2097.5,4047.5,-41.87
199.07,-2100.6,4050.6,-41.06
199.16,-2103.7,4053.7,-39.53
199.26,-2106.8,4056.8,-40.3
199.34,-2109.2,4059.2,-41.19
199.46,-2113.1,4063.1,-39.02
199.57,-2116.2,4066.2,-37.53
199.66,-2119.3,4069.3,-39.19
199.76,-2122.4,4072.4,-39.17
199.87,-2125.5,4075.5,-38.22
199.96,-2128.7,4078.7,-39.84
200.07,-2131.8,4081.8,-40.55
200.22,-2136.6,4086.6,-33.49
200.4,-2142.2,4092.2,-40.35
200.6,-2148.5,4098.5,NA
200.81,-2155,4105,-39.75
201,-2160.9,4110.9,-40.42
201.2,-2167.1,4117.1,-41.06
201.41,-2173.7,4123.7,-39.64
201.62,-2180.2,4130.2,-40.73
201.8,-2185.8,4135.8,-39.38
202.14,-2196.4,4146.4,-38.37
202.4,-2204.5,4154.5,-39.33
202.6,-2210.8,4160.8,-38.97
202.82,-2217.6,4167.6,-38.74
203,-2223.2,4173.2,-39.96
203.2,-2229.4,4179.4,-40.75
203.4,-2235.6,4185.6,-38.78
203.6,-2241.8,4191.8,-39.37
203.8,-2248,4198,-37.97
204,-2254.2,4204.2,-41.02
204.2,-2260.4,4210.4,-41.43
204.4,-2266.6,4216.6,-39.4
204.6,-2272.8,4222.8,-39.8
204.8,-2278.9,4228.9,-40.61
205,-2285.1,4235.1,-38.31
205.2,-2291.3,4241.3,-40.21
205.4,-2297.5,4247.5,-40.05
205.6,-2303.7,4253.7,-39.11
205.8,-2309.9,4259.9,-40
206,-2316.1,4266.1,-38.46
206.2,-2322.3,4272.3,-38.07
206.4,-2328.5,4278.5,-37.86
206.8,-2340.9,4290.9,-38.64
207,-2347.1,4297.1,-38.84
207.2,-2353.3,4303.3,-39.63
207.4,-2359.5,4309.5,-38.95
207.6,-2365.7,4315.7,-39.18
207.8,-2371.9,4321.9,-39.59
208,-2378.1,4328.1,-38.83
208.2,-2384.3,4334.3,-39.46
208.4,-2390.7,4340.7,-39.32
208.6,-2397,4347,-38.48
208.8,-2403.4,4353.4,-40.58
209,-2409.7,4359.7,-39.1
209.2,-2416.1,4366.1,-38.87
209.42,-2423.1,4373.1,NA
209.6,-2428.8,4378.8,-39.83
209.8,-2435.1,4385.1,-39.54
210,-2441.5,4391.5,-39.68
210.22,-2448.4,4398.4,-41.6
210.4,-2454.2,4404.2,-41.47
210.54,-2458.6,4408.6,-40.3
210.69,-2463.4,4413.4,-40.18
210.89,-2469.7,4419.7,-39.16
211.09,-2476.1,4426.1,-40
211.25,-2481.1,4431.1,-39.38
211.4,-2485.9,4435.9,-40.95
211.6,-2492.2,4442.2,-40.36
211.8,-2498.6,4448.6,-38.65
212,-2504.9,4454.9,-39.59
212.2,-2511.3,4461.3,-39.74
212.4,-2517.6,4467.6,-39.71
212.62,-2524.6,4474.6,-38.69
212.8,-2530.3,4480.3,-36.94
213,-2536.7,4486.7,-37.2
213.2,-2543,4493,-39.11
213.4,-2549.4,4499.4,-38.44
213.6,-2555.7,4505.7,-39.14
213.8,-2562.3,4512.3,-39.51
214,-2568.9,4518.9,-39.94
214.2,-2575.5,4525.5,-40.05
214.4,-2582.1,4532.1,NA
214.6,-2588.7,4538.7,-39.39
214.8,-2595.4,4545.4,-41.76
215,-2602,4552,-39.98
215.2,-2608.6,4558.6,-37.49
215.4,-2615.2,4565.2,-38.96
215.6,-2621.9,4571.9,-39.89
215.8,-2628.5,4578.5,-40.04
216,-2635.1,4585.1,-39.61
216.2,-2641.7,4591.7,-38.88
216.4,-2648.4,4598.4,-37.76
216.6,-2655,4605,-40.35
216.8,-2661.6,4611.6,-40.84
217,-2668.2,4618.2,-38.13
217.2,-2674.9,4624.9,NA
218.13,-2705.7,4655.7,-39.3
218.2,-2708,4658,-40.27
218.4,-2714.6,4664.6,-39.53
218.6,-2721.2,4671.2,-39.02
218.8,-2727.8,4677.8,-37.8
219.03,-2735.5,4685.5,NA
219.4,-2747.6,4697.6,-39.79
219.6,-2754.2,4704.2,-38.78
219.8,-2760.7,4710.7,-38.76
220,-2767.2,4717.2,-38.12
220.22,-2774.4,4724.4,-39.9
220.4,-2780.3,4730.3,-38.81
220.6,-2786.8,4736.8,-38.77
220.8,-2793.4,4743.4,-39.57
221,-2799.9,4749.9,-40.43
221.2,-2806.4,4756.4,-39.29
221.4,-2813,4763,-39.09
221.6,-2819.5,4769.5,-40.27
221.8,-2826,4776,-41.16
222,-2832.6,4782.6,-39.98
222.2,-2839.1,4789.1,-41.81
222.4,-2845.6,4795.6,-41.41
222.6,-2852.2,4802.2,-41.3
222.8,-2858.7,4808.7,-40.4
223.08,-2867.8,4817.8,-40.42
223.2,-2871.8,4821.8,-41.02
223.4,-2878.3,4828.3,-38.73
223.6,-2884.8,4834.8,-39.05
223.8,-2891.4,4841.4,-39.77
224,-2897.9,4847.9,-38.12
224.2,-2904.4,4854.4,-38.48
224.4,-2911,4861,-39.54
224.6,-2917.5,4867.5,-38.98
224.8,-2924.1,4874.1,-39.62
225,-2930.9,4880.9,-38.23
225.2,-2937.7,4887.7,-39.06
225.4,-2944.5,4894.5,-39.83
225.6,-2951.2,4901.2,-39.78
225.8,-2958,4908,-38.57
226,-2964.8,4914.8,-39.04
226.2,-2971.6,4921.6,-39.92
226.4,-2978.3,4928.3,-40.81
226.6,-2985.1,4935.1,-39.72
226.8,-2991.9,4941.9,-40.03
227,-2998.7,4948.7,-40.92
227.2,-3005.4,4955.4,-40
227.4,-3012.2,4962.2,-39.19
227.6,-3019,4969,-39.32
227.8,-3025.8,4975.8,-39.95
228,-3032.6,4982.6,-39.91
228.2,-3039.3,4989.3,-41.04
228.4,-3046.1,4996.1,-39.4
228.6,-3052.9,5002.9,-40
228.8,-3059.7,5009.7,-40
229,-3066.4,5016.4,-41.78
229.2,-3073.2,5023.2,-38.67
229.4,-3080,5030,-39.9
229.6,-3086.8,5036.8,-37.15
229.8,-3093.5,5043.5,-38.92
230,-3100.3,5050.3,-39.09
230.22,-3107.8,5057.8,-38.71
230.4,-3114.1,5064.1,-39.16
230.6,-3121.1,5071.1,-39.11
230.8,-3128.1,5078.1,-40.93
231,-3135.1,5085.1,-39.37
231.2,-3142.1,5092.1,-38.67
231.4,-3149.1,5099.1,-40.93
231.6,-3156.1,5106.1,-40.61
231.8,-3163.1,5113.1,-39.51
232,-3170.2,5120.2,-38.28
232.2,-3177.2,5127.2,-39.33
232.4,-3184.2,5134.2,-40.12
232.6,-3191.2,5141.2,-39.27
232.8,-3198.2,5148.2,-40.95
233,-3205.2,5155.2,-39.17
233.2,-3212.2,5162.2,-38.66
233.4,-3219.2,5169.2,-38.52
233.6,-3226.3,5176.3,-38.69
233.8,-3233.3,5183.3,NA
234.28,-3250.1,5200.1,-39.86
234.4,-3254.3,5204.3,-39.34
234.6,-3261.3,5211.3,NA
235,-3275.3,5225.3,-39.45
235.25,-3284.1,5234.1,-39.05
235.4,-3289.4,5239.4,-37.87
235.6,-3296.4,5246.4,-39.09
235.8,-3303.4,5253.4,-39.9
236,-3310.6,5260.6,-40.19
236.2,-3317.7,5267.7,-39.66
236.4,-3324.9,5274.9,-39.7
236.6,-3332,5282,-39.73
236.8,-3339.2,5289.2,-40.05
237,-3346.3,5296.3,-39.59
237.2,-3353.5,5303.5,-38.28
237.4,-3360.7,5310.7,-38.9
237.6,-3367.8,5317.8,-38.14
237.8,-3375,5325,-39.58
238,-3382.1,5332.1,-39.65
238.2,-3389.3,5339.3,-39.67
238.4,-3396.4,5346.4,-38.64
238.6,-3403.6,5353.6,-38.57
238.8,-3410.7,5360.7,-39.31
239,-3417.9,5367.9,-39
239.23,-3426.1,5376.1,-39.95
239.4,-3432.2,5382.2,-39.09
239.6,-3439.4,5389.4,-39.75
239.8,-3446.5,5396.5,-39.57
240,-3453.7,5403.7,-39.94
240.23,-3461.9,5411.9,-37.76
240.47,-3470.5,5420.5,-38.84
240.6,-3475.2,5425.2,-37.01
240.8,-3482.3,5432.3,-36.67
241,-3489.5,5439.5,-39.53
241.2,-3496.6,5446.6,-38.65
241.4,-3503.9,5453.9,-39.73
241.6,-3511.2,5461.2,NA
241.8,-3518.6,5468.6,-40.74
242,-3525.9,5475.9,-39.6
242.2,-3533.3,5483.3,-40.45
242.4,-3540.6,5490.6,-39.55
242.6,-3548,5498,-37.38
242.8,-3555.3,5505.3,-38.95
243,-3562.6,5512.6,-39.74
243.2,-3570,5520,-39.85
243.4,-3577.3,5527.3,-38.7
243.6,-3584.7,5534.7,-39.48
243.8,-3592,5542,-40.33
244,-3599.4,5549.4,-40.75
244.2,-3606.7,5556.7,-39.14
244.4,-3614.1,5564.1,-37.64
244.6,-3621.4,5571.4,NA
244.8,-3628.8,5578.8,-38.9
245,-3636.1,5586.1,-38.53
245.2,-3643.5,5593.5,-41.84
245.4,-3650.8,5600.8,-40.26
245.6,-3658.1,5608.1,-40.22
245.8,-3665.5,5615.5,-38.45
246,-3672.8,5622.8,-39.63
246.2,-3680.2,5630.2,-38.83
246.4,-3687.5,5637.5,-38.7
246.6,-3694.9,5644.9,-37.05
246.8,-3702.2,5652.2,-37.23
247,-3709.8,5659.8,-39.96
247.2,-3717.3,5667.3,-40.54
247.4,-3724.9,5674.9,-39.02
247.6,-3732.4,5682.4,-37.11
247.8,-3740,5690,-39
248,-3747.6,5697.6,-38.44
248.2,-3755.1,5705.1,NA
248.4,-3762.7,5712.7,-38.79
248.6,-3770.2,5720.2,NA
248.8,-3777.8,5727.8,-37.74
249,-3785.4,5735.4,-37.47
249.2,-3792.9,5742.9,-37.71
249.4,-3800.5,5750.5,-37.76
249.6,-3808,5758,-37.84
249.8,-3815.6,5765.6,-38.61
250,-3823.2,5773.2,-39.83
250.23,-3831.8,5781.8,-39.93
250.4,-3838.3,5788.3,-38.88
250.6,-3845.8,5795.8,NA
250.8,-3853.4,5803.4,-37.83
251,-3861,5811,-39.03
251.2,-3868.5,5818.5,NA
251.4,-3876.1,5826.1,-38.32
251.6,-3883.6,5833.6,-39.14
251.8,-3891.2,5841.2,-38.94
252,-3898.8,5848.8,-38.67
252.2,-3906.3,5856.3,-38.73
252.4,-3913.9,5863.9,-38.11
252.6,-3921.7,5871.7,-37.5
252.8,-3929.4,5879.4,-40.76
253,-3937.2,5887.2,-38.08
253.2,-3945,5895,-37.92
253.4,-3952.7,5902.7,-38.83
253.6,-3960.5,5910.5,-40
253.8,-3968.2,5918.2,-40.47
254,-3976,5926,-38.26
254.2,-3983.8,5933.8,-38.7
254.4,-3991.5,5941.5,-38.3
254.6,-3999.3,5949.3,-38.89
254.8,-4007,5957,-39.38
255,-4014.8,5964.8,-39.57
255.2,-4022.5,5972.5,-37.82
255.4,-4030.3,5980.3,-37.94
255.6,-4038.1,5988.1,-39.25
255.78,-4045,5995,-38.19
256,-4053.6,6003.6,-38.85
256.2,-4061.3,6011.3,-39.32
256.4,-4069.1,6019.1,NA
256.6,-4076.9,6026.9,-37.8
256.8,-4084.6,6034.6,NA
257.15,-4098.2,6048.2,-39.41
257.25,-4102.1,6052.1,-38.64
257.4,-4107.9,6057.9,-37.91
257.6,-4115.7,6065.7,-37.61
257.8,-4123.4,6073.4,-39.82
258,-4131.3,6081.3,-38.47
258.2,-4139.3,6089.3,-37.4
258.4,-4147.3,6097.3,-38.25
258.6,-4155.3,6105.3,-41.1
258.8,-4163.3,6113.3,-39.19
259,-4171.4,6121.4,-38.96
259.2,-4179.4,6129.4,-37.66
259.4,-4187.4,6137.4,-37.76
259.6,-4195.4,6145.4,-38.87
259.8,-4203.4,6153.4,-39.69
260,-4211.4,6161.4,-38.82
260.2,-4219.4,6169.4,NA
261.9,-4287.5,6237.5,-40.27
262.1,-4295.5,6245.5,-38.8
262.3,-4303.5,6253.5,-37.79
262.49,-4311.1,6261.1,-39.16
262.65,-4317.5,6267.5,-38.81
262.8,-4323.5,6273.5,-38.29
263,-4331.5,6281.5,-38.87
263.2,-4339.5,6289.5,-37.64
263.4,-4347.5,6297.5,-38.31
263.6,-4355.7,6305.7,-38.42
263.8,-4364,6314,-39.88
264,-4372.3,6322.3,-40.4
264.2,-4380.5,6330.5,-36.66
264.4,-4388.8,6338.8,-38.27
264.6,-4397,6347,-40.47
264.8,-4405.3,6355.3,-37.81
265,-4413.5,6363.5,-39.57
265.2,-4421.8,6371.8,-38.16
265.4,-4430,6380,-39.84
265.6,-4438.3,6388.3,-37.75
265.8,-4446.5,6396.5,-38.69
266,-4454.8,6404.8,-39
266.2,-4463,6413,-37.89
266.4,-4471.3,6421.3,-39.13
266.6,-4479.5,6429.5,-38.44
266.8,-4487.8,6437.8,-38.49
267,-4496,6446,-37.05
267.2,-4504.3,6454.3,-38.11
267.4,-4512.5,6462.5,-39.03
267.6,-4520.8,6470.8,-38.53
267.8,-4529,6479,-38.84
268,-4537.3,6487.3,-38.64
268.24,-4547.2,6497.2,-39.31
268.4,-4553.8,6503.8,-38.87
268.6,-4562.1,6512.1,NA
268.8,-4570.3,6520.3,-39.2
269,-4578.6,6528.6,-37.94
269.2,-4587.1,6537.1,-39.08
269.4,-4595.6,6545.6,-37.44
269.6,-4604.1,6554.1,-38.41
269.8,-4612.6,6562.6,-38.81
270.01,-4621.6,6571.6,-39.19
270.2,-4629.6,6579.6,-39.13
270.4,-4638.1,6588.1,-37.81
270.6,-4646.6,6596.6,-40.32
270.8,-4655.1,6605.1,-39.27
271,-4663.6,6613.6,-39.83
271.2,-4672.2,6622.2,-37.44
271.8,-4697.7,6647.7,NA
272,-4706.2,6656.2,-38.05
272.2,-4714.7,6664.7,-38.02
272.4,-4723.2,6673.2,-38.87
272.6,-4731.7,6681.7,-38.19
272.8,-4740.2,6690.2,-38.36
273,-4748.7,6698.7,-40.09
273.2,-4757.2,6707.2,-38.69
273.4,-4765.7,6715.7,-38.44
273.6,-4774.2,6724.2,-38.75
273.8,-4782.7,6732.7,-37.66
274,-4791.2,6741.2,-38.6
274.15,-4797.6,6747.6,-37.71
274.4,-4808.2,6758.2,-38.73
274.6,-4816.9,6766.9,-38.22
274.8,-4825.7,6775.7,-37.33
275,-4834.5,6784.5,-40.12
275.2,-4843.4,6793.4,-38.71
275.4,-4852.2,6802.2,-37.72
275.6,-4861,6811,-38.47
275.8,-4869.9,6819.9,-38.96
276,-4878.7,6828.7,-39.15
276.2,-4887.5,6837.5,-38.34
276.4,-4896.3,6846.3,-38.75
276.6,-4905.2,6855.2,-37.63
276.8,-4914,6864,-36.92
277,-4922.8,6872.8,-38.08
277.2,-4931.6,6881.6,-37.77
277.4,-4940.5,6890.5,-38.73
277.6,-4949.3,6899.3,-38.41
277.8,-4958.1,6908.1,-39.04
278,-4966.9,6916.9,-38.28
278.2,-4975.8,6925.8,-39.39
278.4,-4984.6,6934.6,-38.85
278.6,-4993.4,6943.4,-38.68
278.8,-5002.2,6952.2,-38.35
279,-5011.1,6961.1,-36.96
279.2,-5019.9,6969.9,-37.69
279.4,-5028.7,6978.7,-38.31
279.58,-5036.7,6986.7,-38.54
279.8,-5046.4,6996.4,-39.61
280,-5055.2,7005.2,-37.75
280.2,-5064.3,7014.3,-38.27
280.4,-5073.4,7023.4,-38.41
280.6,-5082.6,7032.6,-39.51
280.8,-5091.7,7041.7,-39.41
281,-5100.8,7050.8,-38.37
281.2,-5109.9,7059.9,-38.31
281.4,-5119,7069,-38.98
281.6,-5128.1,7078.1,-38.47
281.8,-5137.3,7087.3,-38.96
282,-5146.4,7096.4,-39.33
282.2,-5155.5,7105.5,-37.94
282.4,-5164.6,7114.6,-38.61
282.6,-5173.7,7123.7,-38.61
282.8,-5182.8,7132.8,-37.79
283,-5192,7142,-38.32
283.2,-5201.1,7151.1,-37.49
283.4,-5210.2,7160.2,-37.87
283.6,-5219.3,7169.3,-37.93
283.76,-5226.6,7176.6,-37.93
284,-5237.5,7187.5,-38.24
284.2,-5246.7,7196.7,-37.98
284.4,-5255.8,7205.8,-38.23
284.6,-5264.9,7214.9,-37.56
284.8,-5274,7224,-39.01
285,-5283.1,7233.1,-38.66
285.2,-5292.2,7242.2,-38.24
285.4,-5301.3,7251.3,-38.06
285.6,-5310.6,7260.6,-38.17
285.8,-5320,7270,-37.53
286,-5329.5,7279.5,-38.33
286.2,-5338.9,7288.9,-38.5
286.4,-5348.4,7298.4,-38.25
286.6,-5357.8,7307.8,-37.5
286.8,-5367.3,7317.3,-37.07
287,-5376.7,7326.7,-36.9
287.2,-5386.2,7336.2,-36.61
287.4,-5395.6,7345.6,-37.21
287.6,-5405.1,7355.1,-37.33
287.8,-5414.5,7364.5,-38.62
288,-5424,7374,-38.84
288.2,-5433.4,7383.4,-38.84
288.4,-5442.9,7392.9,-37.99
288.6,-5452.3,7402.3,-37.53
288.8,-5461.8,7411.8,-36.45
289,-5471.2,7421.2,-38.13
289.2,-5480.7,7430.7,-37.75
289.4,-5490.1,7440.1,-38.39
289.55,-5497.2,7447.2,-38.83
289.8,-5509,7459,-39.12
290,-5518.5,7468.5,-38.96
290.2,-5527.9,7477.9,-37.66
290.4,-5537.4,7487.4,-37.48
290.6,-5546.8,7496.8,-38.04
290.7,-5551.5,7501.5,-37.56
290.9,-5561,7511,-39.44
291.1,-5570.5,7520.5,-37.18
291.3,-5580.4,7530.4,-37.42
291.4,-5585.3,7535.3,NA
291.58,-5594.1,7544.1,-37.98
291.8,-5605,7555,-37.98
292,-5614.8,7564.8,-39.41
292.2,-5624.6,7574.6,-39.07
292.4,-5634.5,7584.5,-37.7
292.6,-5644.3,7594.3,-37.85
292.8,-5654.2,7604.2,-38.16
293,-5664,7614,-38.21
293.2,-5673.8,7623.8,-39.2
293.4,-5683.7,7633.7,-37.53
293.6,-5693.5,7643.5,-38.02
293.8,-5703.3,7653.3,-39.07
294,-5713.2,7663.2,-37.49
294.2,-5723,7673,-38.88
294.4,-5732.9,7682.9,-38.94
294.6,-5742.7,7692.7,-38.47
294.8,-5752.5,7702.5,-39.45
295,-5762.4,7712.4,-38.21
295.2,-5772.2,7722.2,-38.18
295.4,-5782,7732,-38.41
295.6,-5791.9,7741.9,-38.1
295.8,-5801.7,7751.7,-39.79
296,-5811.6,7761.6,-39.06
296.2,-5821.4,7771.4,-38.26
296.4,-5831.2,7781.2,-39.52
296.6,-5841.1,7791.1,-40.13
296.8,-5851.3,7801.3,-38.89
297,-5861.5,7811.5,-37.81
297.2,-5871.8,7821.8,-39.18
297.4,-5882,7832,-38.15
297.6,-5892.2,7842.2,-37.52
297.8,-5902.4,7852.4,-38.03
298,-5912.6,7862.6,-38.63
298.2,-5922.8,7872.8,-38.98
298.4,-5933,7883,-38.36
298.64,-5945.3,7895.3,-39.59
298.8,-5953.4,7903.4,-37.71
299,-5963.6,7913.6,-38.41
299.2,-5973.9,7923.9,-37.83
299.4,-5984.1,7934.1,-38.31
299.58,-5993.3,7943.3,-38.74
299.8,-6004.5,7954.5,-37.31
299.96,-6012.7,7962.7,-38.94
300.2,-6024.9,7974.9,-38.32
300.5,-6040.2,7990.2,NA
301.31,-6081.6,8031.6,-37.69
301.5,-6091.3,8041.3,-39.59
301.6,-6096.4,8046.4,-39.34
301.8,-6106.6,8056.6,-38.11
302,-6116.8,8066.8,-38.34
302.2,-6127.2,8077.2,-39.15
302.4,-6137.9,8087.9,-38.65
302.6,-6148.5,8098.5,-38.92
302.8,-6159.2,8109.2,-37.83
303,-6169.8,8119.8,-37.6
303.2,-6180.5,8130.5,-39.19
303.4,-6191.1,8141.1,-39.29
303.6,-6201.8,8151.8,-38.21
303.8,-6212.4,8162.4,-38.63
304,-6223.1,8173.1,-38.76
304.2,-6233.7,8183.7,-38.38
304.4,-6244.4,8194.4,-38.32
304.6,-6255.1,8205.1,-39.12
304.8,-6265.7,8215.7,-38.98
305,-6276.4,8226.4,-37.91
305.2,-6287,8237,-37.48
305.4,-6297.7,8247.7,-38.08
305.6,-6308.3,8258.3,-39.22
305.8,-6319,8269,-38.45
306,-6329.6,8279.6,-39.64
306.2,-6340.3,8290.3,-37.79
306.4,-6350.9,8300.9,-38.19
306.6,-6361.6,8311.6,-40.33
306.8,-6372.2,8322.2,-39.67
307,-6382.9,8332.9,-38.12
307.2,-6393.5,8343.5,-38.59
307.4,-6404.2,8354.2,-38.69
307.6,-6414.8,8364.8,-38.19
307.8,-6425.9,8375.9,-38.68
308,-6437,8387,-37.4
308.2,-6448.2,8398.2,-38.35
308.4,-6459.3,8409.3,-38.39
308.6,-6470.4,8420.4,-39.58
308.8,-6481.5,8431.5,-39.37
309,-6492.7,8442.7,-38.89
309.2,-6503.8,8453.8,-39.27
309.4,-6514.9,8464.9,-38.93
309.6,-6526,8476,-38.12
309.8,-6537.2,8487.2,-38.33
310,-6548.3,8498.3,-39.16
310.2,-6559.4,8509.4,-38.38
310.4,-6570.6,8520.6,-38.69
310.6,-6581.7,8531.7,-38.17
310.8,-6592.8,8542.8,-38.38
311,-6603.9,8553.9,-39.67
311.2,-6615.1,8565.1,-39.23
311.4,-6626.2,8576.2,NA
311.6,-6637.3,8587.3,-37.21
311.8,-6648.5,8598.5,-38.75
312,-6659.6,8609.6,-39.05
312.2,-6670.7,8620.7,-40.07
312.4,-6681.8,8631.8,-39.4
312.6,-6693,8643,-38.88
312.8,-6704.1,8654.1,-38.64
313,-6715.2,8665.2,-37.53
313.2,-6726.4,8676.4,-39.62
313.4,-6738,8688,-39.44
313.6,-6749.6,8699.6,-38.6
313.8,-6761.2,8711.2,-38.45
314,-6772.8,8722.8,-37.48
314.2,-6784.4,8734.4,-38.63
314.38,-6794.9,8744.9,-38.41
314.6,-6807.6,8757.6,-39.32
314.8,-6819.2,8769.2,-38.6
315,-6830.8,8780.8,-37.75
315.2,-6842.4,8792.4,-38.93
315.4,-6854,8804,-39.43
315.6,-6865.6,8815.6,-38.75
315.8,-6877.2,8827.2,-38.96
316,-6888.8,8838.8,-37.59
316.2,-6900.4,8850.4,-38.36
316.4,-6912,8862,-39.38
316.6,-6923.6,8873.6,-38.14
316.8,-6935.2,8885.2,-39.42
317,-6946.8,8896.8,-38.16
317.2,-6958.4,8908.4,-38.95
317.4,-6970,8920,-38.87
317.6,-6981.6,8931.6,-38.62
317.8,-6993.2,8943.2,-39.42
318,-7004.8,8954.8,-38.99
318.2,-7016.4,8966.4,-38.03
318.4,-7028,8978,-40.12
318.6,-7039.6,8989.6,-39.08
318.8,-7051.5,9001.5,-38.61
319,-7063.7,9013.7,-38.42
319.2,-7075.9,9025.9,-38.83
319.4,-7088.1,9038.1,-39.33
319.6,-7100.3,9050.3,-38.49
319.8,-7112.5,9062.5,-38.92
320,-7124.7,9074.7,-38.41
320.2,-7136.9,9086.9,-39.85
320.4,-7149.1,9099.1,-38.95
320.6,-7161.3,9111.3,-38.44
320.8,-7173.5,9123.5,-39.93
321,-7185.7,9135.7,-38.83
321.2,-7197.9,9147.9,-37.7
321.4,-7210.1,9160.1,NA
321.6,-7222.3,9172.3,-38.1
321.8,-7234.5,9184.5,-37.97
322,-7246.7,9196.7,-38.77
322.2,-7258.9,9208.9,-39.62
322.4,-7271.1,9221.1,-39.18
322.6,-7283.3,9233.3,-38.34
322.8,-7295.5,9245.5,-38.57
323,-7307.7,9257.7,-38.72
323.2,-7319.9,9269.9,-38.65
323.4,-7332.1,9282.1,NA
323.6,-7344.3,9294.3,-37.91
323.8,-7356.5,9306.5,-37.86
324,-7368.7,9318.7,-38.41
324.2,-7380.9,9330.9,-37.93
324.4,-7393.6,9343.6,-37.94
324.64,-7409,9359,-37.97
324.8,-7419.2,9369.2,-39.16
325,-7431.9,9381.9,-38.84
325.2,-7444.7,9394.7,-38.62
325.4,-7457.5,9407.5,-38.34
325.6,-7470.3,9420.3,-38.84
325.8,-7483,9433,-39.1
326,-7495.8,9445.8,-39.88
326.2,-7508.6,9458.6,-39.19
326.4,-7521.3,9471.3,-37.99
326.6,-7534.1,9484.1,-39.6
326.8,-7546.9,9496.9,-39.51
327,-7559.6,9509.6,-38.69
327.2,-7572.4,9522.4,-40.15
327.4,-7585.2,9535.2,-38.32
327.6,-7598,9548,-38.01
327.8,-7610.7,9560.7,-37.99
328,-7623.5,9573.5,-38.64
328.2,-7636.3,9586.3,-38.57
328.4,-7649,9599,-39.27
328.6,-7661.8,9611.8,-38.46
328.8,-7674.6,9624.6,-38.57
329,-7687.4,9637.4,-38.62
329.2,-7700.1,9650.1,-39.28
329.4,-7712.9,9662.9,-38.35
329.6,-7725.7,9675.7,-38
329.8,-7738.6,9688.6,-36.91
330,-7752,9702,-37.77
330.2,-7765.4,9715.4,NA
330.4,-7778.8,9728.8,-39.23
330.6,-7792.2,9742.2,-39.21
330.8,-7805.6,9755.6,-38.48
331,-7819,9769,-36.82
331.2,-7832.4,9782.4,-37.49
331.4,-7845.8,9795.8,-38.46
331.6,-7859.1,9809.1,-37.22
331.8,-7872.5,9822.5,-37.56
332,-7885.9,9835.9,-37.88
332.2,-7899.3,9849.3,-38.07
332.4,-7912.7,9862.7,-37.82
332.6,-7926.1,9876.1,-36.68
332.8,-7939.5,9889.5,-37.59
333,-7952.9,9902.9,-37.46
333.2,-7966.3,9916.3,-38.54
333.4,-7979.7,9929.7,-39.06
333.6,-7993.1,9943.1,NA
333.8,-8006.5,9956.5,-38.21
334,-8019.8,9969.8,-37.5
334.2,-8033.2,9983.2,-37.87
334.4,-8046.6,9996.6,-38.95
334.6,-8060,10010,-37.88
334.8,-8073,10023,-38.1
335,-8087,10037,-37.87
335.2,-8100,10050,-37.01
335.4,-8114,10064,-37.45
335.6,-8128,10078,-38.24
335.8,-8142,10092,-38.41
336,-8157,10107,-39.24
336.23,-8173,10123,-37.77
336.4,-8185,10135,-38.41
336.6,-8199,10149,-38.67
336.8,-8213,10163,-37.83
337,-8227,10177,NA
337.2,-8241,10191,-38.62
337.38,-8254,10204,-38.8
337.6,-8270,10220,-38.61
337.76,-8281,10231,-37.05
338.01,-8299,10249,-38.85
338.23,-8314,10264,-37.3
338.4,-8326,10276,-37.1
338.6,-8340,10290,-37.27
338.8,-8355,10305,-38.24
339,-8369,10319,-38.2
339.2,-8383,10333,-38.83
339.4,-8397,10347,-39.32
339.6,-8411,10361,-36.59
339.8,-8425,10375,-37.47
340,-8439,10389,NA
340.2,-8454,10404,-37.84
340.4,-8468,10418,-37.29
340.58,-8480,10430,-38.32
340.8,-8496,10446,-37.82
341,-8511,10461,-38.24
341.2,-8526,10476,-38.26
341.42,-8542,10492,-38.31
341.6,-8556,10506,-38.6
341.8,-8570,10520,-37.85
342,-8585,10535,-37.27
342.2,-8600,10550,-36.98
342.45,-8619,10569,-36.94
342.6,-8630,10580,-38.07
342.83,-8647,10597,-38.59
343,-8660,10610,-37.55
343.2,-8675,10625,-38.52
343.4,-8690,10640,-37.58
343.56,-8702,10652,-38.5
343.8,-8719,10669,-38.32
344,-8734,10684,-37.11
344.2,-8749,10699,-40.71
344.4,-8764,10714,-37.59
344.6,-8779,10729,-37.94
344.8,-8794,10744,NA
345,-8809,10759,-38.47
345.2,-8824,10774,-39.14
345.4,-8839,10789,-37.01
345.6,-8853,10803,-36.43
345.8,-8868,10818,-37.84
346,-8883,10833,-38.19
346.2,-8898,10848,-38.2
346.4,-8913,10863,-37.94
346.6,-8929,10879,-39.13
346.8,-8945,10895,-37.76
347,-8960,10910,-38.2
347.2,-8976,10926,-36.94
347.4,-8992,10942,-37.5
347.6,-9007,10957,-37.08
347.8,-9023,10973,-37.8
348,-9039,10989,-37.48
348.2,-9054,11004,NA
348.4,-9070,11020,-37.25
348.6,-9086,11036,-37.03
348.8,-9101,11051,-37
349,-9117,11067,-37.33
349.2,-9133,11083,-38.19
349.4,-9148,11098,-37.89
349.6,-9164,11114,-37.85
349.8,-9179,11129,-37.64
