depth (m),age (BP),temperature (degC),Bag (missing),dD (permil)
1613.15,123159.97,0.52,2934,-394.9
1613.7,123202.02,2.45,2935,-383.2
1614.25,123242.46,2.37,2936,-383.7
1614.8,123281.46,1.74,2937,-387.5
1615.35,123322.69,1.29,2938,-390.2
1615.9,123363.62,2.55,2939,-382.6
1616.45,123404.65,1.09,2940,-391.4
1617,123446.17,2.2,2941,-384.7
1617.55,123486.35,1.48,2942,-389
1618.1,123527.1,3.01,2943,-379.8
1618.65,123566.48,1.48,2944,-389
1619.2,123607.06,1.3,2945,-390.1
1619.75,123648.86,2.39,2946,-383.5
1620.3,123688.49,2.73,2947,-381.4
1620.85,123726.31,2.3,2948,-384
1621.4,123764.95,2.32,2949,-383.9
1621.95,123804.79,1.52,2950,-388.7
1622.5,123845.08,3.12,2951,-379
1623.05,123882.34,2.31,2952,-383.9
1623.6,123921.38,2.04,2953,-385.5
1624.15,123960.61,2.47,2954,-382.9
1624.7,124000.24,1.62,2955,-388
1625.25,124041.36,0.83,2956,-392.8
1625.8,124085.54,2.51,2957,-382.6
1626.35,124124.33,2.46,2958,-382.9
1626.9,124162.85,2.33,2959,-383.7
1627.45,124200.23,3.77,2960,-375
1628,124235.39,2.5,2961,-382.6
1628.55,124273.03,2.96,2962,-379.8
1629.1,124309.36,3.66,2963,-375.6
1629.65,124345.41,1.93,2964,-386
1630.2,124384.84,2.48,2965,-382.7
1630.75,124423.69,2.11,2966,-384.9
1631.3,124462.1,2.92,2967,-380
1631.85,124501.2,1.39,2968,-389.2
1632.4,124542.38,1.54,2969,-388.3
1632.95,124584.57,0.84,2970,-392.5
1633.5,124628.41,1.85,2971,-386.4
1634.05,124669.56,2.13,2972,-384.7
1634.6,124710.93,0.87,2973,-392.3
1635.15,124754.38,0.6,2974,-393.9
1635.7,124799.05,1.71,2975,-387.2
1636.25,124841.17,2.1,2976,-384.8
1636.8,124880.67,2.73,2977,-381
1637.35,124919.81,1.57,2978,-388
1637.9,124959.57,2.23,2979,-384
1638.45,125000.62,1.11,2980,-390.7
1639,125043.48,0.81,2981,-392.5
1639.55,125088.23,2.05,2982,-385
1640.1,125129.01,0.92,2983,-391.8
1640.65,125172.35,1.27,2984,-389.7
1641.2,125214.9,2.01,2985,-385.2
1641.75,125256.18,1.74,2986,-386.8
1642.3,125297.26,1.44,2987,-388.6
1642.85,125339.46,0.96,2988,-391.5
1643.4,125383.32,1.9,2989,-385.8
1643.95,125424.47,1.68,2990,-387.1
1644.5,125465.25,2.03,2991,-385
1645.05,125505.55,1.99,2992,-385.2
1645.6,125545.83,1.14,2993,-390.3
1646.15,125588.8,1.27,2994,-389.5
1646.7,125631.79,1.33,2995,-389.1
1647.25,125674.44,1.5,2996,-388.1
1647.8,125717.17,1.08,2997,-390.6
1648.35,125759.85,1.62,2998,-387.3
1648.9,125803.1,0.59,2999,-393.5
1649.45,125848.23,0.21,3000,-395.8
1650,125894.48,2.09,3001,-384.4
1650.55,125935.34,1.39,3002,-388.6
1651.1,125977.98,1.08,3003,-390.5
1651.65,126021.5,1.11,3004,-390.3
1652.2,126063.77,2.28,3005,-383.2
1652.75,126105.76,0.79,3006,-392.2
1653.3,126148.1,2.14,3007,-384
1653.85,126188.9,0.84,3008,-391.8
1654.4,126233.47,0.91,3009,-391.4
1654.95,126276.93,2.06,3010,-384.4
1655.5,126317.73,2.06,3011,-384.4
1656.05,126359.44,0.43,3012,-394.2
1656.6,126403.33,1.11,3013,-390.1
1657.15,126448.19,0.33,3014,-394.8
1657.7,126494.47,0.49,3015,-393.8
1658.25,126540.62,1.33,3016,-388.7
1658.8,126583.49,1.16,3017,-389.7
1659.35,126626.23,1.77,3018,-386
1659.9,126667.51,1.91,3019,-385.1
1660.45,126708.47,1.5,3020,-387.6
1661,126749.21,2.39,3021,-382.2
1661.55,126788.54,2.6,3022,-380.9
1662.1,126826.68,2.14,3023,-383.6
1662.65,126865.56,2.29,3024,-382.7
1663.2,126903.68,3.21,3025,-377.1
1663.75,126940.33,2.53,3026,-381.2
1664.3,126977.69,3.18,3027,-377.2
1664.85,127015.08,2.14,3028,-383.5
1665.4,127052.56,2.79,3029,-379.5
1665.95,127090.17,3.2,3030,-377
1666.5,127126.25,2.65,3031,-380.3
1667.05,127164.15,1.9,3032,-384.8
1667.6,127203.22,2.16,3033,-383.2
1668.15,127242.68,2.25,3034,-382.6
1668.7,127281.38,2.61,3035,-380.4
1669.25,127318.88,2.86,3036,-378.9
1669.8,127357.12,1.66,3037,-386.1
1670.35,127396.72,1.89,3038,-384.7
1670.9,127437.05,2.08,3039,-383.5
1671.45,127475.67,2.98,3040,-378
1672,127512.26,3.33,3041,-375.9
1672.55,127548.32,2.44,3042,-381.2
1673.1,127585.74,2.77,3043,-379.2
1673.65,127622.48,2.95,3044,-378.1
1674.2,127659.96,2.04,3045,-383.5
1674.75,127697.8,2.95,3046,-378
1675.3,127734.85,3.59,3047,-374.1
1675.85,127773.32,3.25,3048,-376.1
1676.4,127810.37,2.81,3049,-378.7
1676.95,127845.65,4.4,3050,-369.1
1677.5,127878.51,3.36,3051,-375.3
1678.05,127912.61,3.93,3052,-371.8
1678.6,127946.63,4.32,3053,-369.4
1679.15,127979.1,4.43,3054,-368.7
1679.7,128012.79,3.36,3055,-375.1
1680.25,128046.58,3.97,3056,-371.4
1680.8,128079.42,3.2,3057,-376
1681.35,128112.85,3.47,3058,-374.3
1681.9,128146.77,3.26,3059,-375.5
1682.45,128181.64,4.38,3060,-368.7
1683,128215.27,2.56,3061,-379.6
1683.55,128249.14,4.79,3062,-366.1
1684.1,128284.42,4,3063,-370.8
1684.65,128317.01,2.9,3064,-377.4
1685.2,128348.9,4.08,3065,-370.2
1685.75,128380.27,3.46,3066,-373.9
1686.3,128411.51,4.79,3067,-365.8
1686.85,128442.71,4.71,3068,-366.2
1687.4,128474.04,4.06,3069,-370.1
1687.95,128505.51,4.86,3070,-365.2
1688.5,128537.06,3.84,3071,-371.3
1689.05,128567.3,3.1,3072,-375.7
1689.6,128598.18,3.66,3073,-372.2
1690.15,128630.84,4.84,3074,-365
1690.7,128662.31,5.46,3075,-361.2
1691.25,128693.61,3.96,3076,-370.2
1691.8,128726.07,3.34,3077,-373.9
1692.35,128758.58,4.3,3078,-368
1692.9,128791.02,4.59,3079,-366.2
1693.45,128822.28,4.51,3080,-366.6
1694,128854.98,3.16,3081,-374.7
1694.55,128889.16,3.79,3082,-370.8
1695.1,128921.88,3.88,3083,-370.2
1695.65,128955.81,2.35,3084,-379.4
1696.2,128990.86,3.52,3085,-372.3
1696.75,129024.48,3.66,3086,-371.4
1697.3,129057.61,4.61,3087,-365.6
1697.85,129090.45,3.38,3088,-373
1698.4,129124.66,3.12,3089,-374.5
1698.95,129158.12,4.09,3090,-368.6
1699.5,129191.06,3.8,3091,-370.3
1700.05,129223.7,3.77,3092,-370.4
1700.6,129255.54,4.56,3093,-365.6
1701.15,129286.76,2.65,3094,-377.1
1701.7,129322.67,2.98,3095,-375
1702.25,129358.32,2.88,3096,-375.6
1702.8,129393.26,4.35,3097,-366.6
1703.35,129425.21,3.44,3098,-372.1
1703.9,129458.6,3.06,3099,-374.3
1704.45,129492.83,3.77,3100,-370
1705,129525.97,3.26,3101,-373
1705.55,129559.68,3.32,3102,-372.6
1706.1,129593.65,3.46,3103,-371.7
1706.65,129627.24,3.37,3104,-372.2
1707.2,129661.29,3.08,3105,-373.9
1707.75,129696.28,1.93,3106,-380.8
1708.3,129734.17,2.42,3107,-377.8
1708.85,129769.73,3.7,3108,-370
1709.4,129804.18,3.31,3109,-372.3
1709.95,129837.7,2.92,3110,-374.6
1710.5,129872.62,3.08,3111,-373.6
1711.05,129907.08,3.35,3112,-371.9
1711.6,129941.25,2.31,3113,-378.1
1712.15,129977.17,2.72,3114,-375.6
1712.7,130013.2,2.91,3115,-374.4
1713.25,130048.76,3.39,3116,-371.4
1713.8,130083.05,1.57,3117,-382.4
1714.35,130121.55,2.12,3118,-379
1714.9,130158.45,2.82,3119,-374.7
1715.45,130193.95,2.19,3120,-378.5
1716,130231.13,1.91,3121,-380.1
1716.55,130268.49,2.61,3122,-375.8
1717.1,130305.08,2.75,3123,-374.9
1717.65,130340.94,1.67,3124,-381.4
1718.2,130380,1.64,3125,-381.5
1718.75,130417.49,3.25,3126,-371.7
1719.3,130455.67,0.77,3127,-386.7
1719.85,130495.66,1.14,3128,-384.4
1720.4,130536.9,2.15,3129,-378.2
1720.95,130575.08,1.55,3130,-381.8
1721.5,130614.38,1.34,3131,-383
1722.05,130654.97,0.89,3132,-385.7
1722.6,130696.53,1.04,3133,-384.7
1723.15,130738.14,1,3134,-384.9
1723.7,130779.9,0.81,3135,-386
1724.25,130822.06,0.9,3136,-385.4
1724.8,130865.42,-0.18,3137,-391.9
1725.35,130909.95,0.42,3138,-388.2
1725.9,130954.36,0.63,3139,-386.9
1726.45,130997.77,0.46,3140,-387.9
1727,131041.42,0.4,3141,-388.2
1727.55,131085.27,0.77,3142,-385.9
1728.1,131128.16,0.35,3143,-388.4
1728.65,131172.68,-0.32,3144,-392.4
1729.2,131218.58,0.4,3145,-388
1729.75,131263.85,0.49,3146,-387.4
1730.3,131308.35,0.07,3147,-389.9
1730.85,131352.51,0.75,3148,-385.7
1731.4,131396.18,-0.23,3149,-391.6
1731.95,131442.16,-0.12,3150,-390.9
1732.5,131488.38,-1.67,3151,-400.2
1733.05,131541.49,-1.17,3152,-397.1
1733.6,131592.3,-0.69,3153,-394.2
1734.15,131641.15,-1.13,3154,-396.8
1734.7,131691.68,-1.09,3155,-396.5
1735.25,131742.29,-1.59,3156,-399.5
1735.8,131794.98,-1.52,3157,-399
1736.35,131847.68,-1.76,3158,-400.4
1736.9,131901.23,-1.78,3159,-400.5
1737.45,131954.6,-1.38,3160,-398
1738,132008.43,-2.85,3161,-406.9
1738.55,132065.99,-2.6,3162,-405.3
1739.1,132123.28,-1.52,3163,-398.7
1739.65,132176.91,-1.66,3164,-399.5
1740.2,132229.66,-1.33,3165,-397.5
1740.75,132281.8,-2.1,3166,-402.1
1741.3,132336.8,-2.32,3167,-403.4
1741.85,132393.3,-2.28,3168,-403.1
1742.4,132449.76,-3.15,3169,-408.3
1742.95,132506.5,-2.13,3170,-402.1
1743.5,132563.55,-3.14,3171,-408.2
1744.05,132623.91,-3.27,3172,-408.9
1744.6,132687.15,-2.73,3173,-405.6
1745.15,132746.49,-3.46,3174,-410
1745.7,132808.79,-3.27,3175,-408.8
1746.25,132871.34,-3.74,3176,-411.6
1746.8,132935.42,-3.55,3177,-410.4
1747.35,132999.57,-4.35,3178,-415.2
1747.9,133067.17,-4.13,3179,-413.8
1748.45,133133.98,-3.03,3180,-407.1
1749,133194.97,-3.21,3181,-408.2
1749.55,133258.03,-4.71,3182,-417.2
1750.1,133327.2,-4.68,3183,-417
1750.65,133397.13,-3.57,3184,-410.2
1751.2,133461.26,-2.99,3185,-406.7
1751.75,133524.19,-3.7,3186,-410.9
1752.3,133588.27,-4.48,3187,-415.6
1752.85,133657.97,-4.8,3188,-417.5
1753.4,133729.47,-5.32,3189,-420.6
1753.95,133802.56,-3.66,3190,-410.5
1754.5,133869.86,-5.02,3191,-418.7
1755.05,133941.3,-4.84,3192,-417.6
1755.6,134013.56,-5.18,3193,-419.6
1756.15,134087.38,-5.7,3194,-422.7
1756.7,134163.98,-4.65,3195,-416.3
1757.25,134235.94,-5.61,3196,-422.1
1757.8,134312.91,-5.48,3197,-421.3
1758.35,134389.48,-5.47,3198,-421.2
1758.9,134466.33,-5.89,3199,-423.7
1759.45,134545.25,-5.79,3200,-423
1760,134623.97,-5.76,3201,-422.8
1760.55,134703.02,-6.31,3202,-426.1
1761.1,134785.16,-6.07,3203,-424.6
1761.65,134866.4,-6.29,3204,-425.9
1762.2,134949.22,-6.88,3205,-429.4
1762.75,135036.17,-8.34,3206,-438.2
1763.3,135124.21,-6.99,3207,-430
1763.85,135213.35,-7.66,3208,-434
1764.4,135306.88,-7.77,3209,-434.6
1764.95,135401.93,-7.73,3210,-434.3
1765.5,135496.88,-7.8,3211,-434.7
1766.05,135592.54,-7.15,3212,-430.7
1766.6,135691.1,-6.83,3213,-428.7
1767.15,135779.35,-8.01,3214,-435.8
1767.7,135875.63,-7.47,3215,-432.5
1768.25,135967.96,-6.54,3216,-426.8
1768.8,136055.32,-7.39,3217,-431.9
1769.35,136147.36,-8.39,3218,-437.9
1769.9,136247.78,-7.89,3219,-434.8
1770.45,136345.2,-8.48,3220,-438.3
1771,136447.4,-8.73,3221,-439.8
1771.55,136552.17,-8.77,3222,-440
1772.1,136656.1,-8.27,3223,-436.9
1772.65,136751.8,-8.51,3224,-438.3
1773.2,136853.41,-8.12,3225,-435.9
1773.75,136953.35,-8.46,3226,-437.9
1774.3,137055.78,-8.68,3227,-439.2
1774.85,137158.86,-7.44,3228,-431.6
1775.4,137253.47,-7.46,3229,-431.7
1775.95,137347.4,-8.28,3230,-436.6
1776.5,137447.74,-8.11,3231,-435.5
1777.05,137547.29,-7.77,3232,-433.4
1777.6,137646.82,-8.35,3233,-436.9
1778.15,137743.42,-8.59,3234,-438.3
1778.7,137847.03,-8.19,3235,-435.8
1779.25,137947.48,-7.77,3236,-433.2
1779.8,138046.02,-8.33,3237,-436.6
1780.35,138147.46,-8.06,3238,-434.9
1780.9,138247.23,-8.49,3239,-437.5
1781.45,138350.5,-8.53,3240,-437.7
1782,138453.82,-7.93,3241,-434
1782.55,138553.56,-8.85,3242,-439.6
1783.1,138659.46,-9.01,3243,-440.5
1783.65,138763.28,-8.78,3244,-439.1
1784.2,138870.26,-9.43,3245,-443
1784.75,138982.88,-9.07,3246,-440.8
1785.3,139092.83,-8.94,3247,-440
1785.85,139201.45,-9.32,3248,-442.3
1786.4,139310.05,-8.77,3249,-438.9
1786.95,139416.94,-8.54,3250,-437.5
1787.5,139521.96,-8.57,3251,-437.6
1788.05,139627.19,-8.85,3252,-439.3
1788.6,139734.99,-9.14,3253,-441
1789.15,139845.5,-8.48,3254,-437
1789.7,139950.77,-9.13,3255,-440.9
1790.25,140059.96,-8.01,3256,-434.1
1790.8,140162.58,-9.19,3257,-441.2
1791.35,140272.88,-9.11,3258,-440.7
1791.9,140383.65,-8.47,3259,-436.8
1792.45,140488.48,-8.22,3260,-435.3
1793,140590.87,-9.06,3261,-440.4
1793.55,140701.09,-8.67,3262,-438
1794.1,140808.61,-9.02,3263,-440.1
1794.65,140918.76,-9.13,3264,-440.8
1795.2,141030.36,-9.17,3265,-441
1795.75,141142.36,-8.76,3266,-438.5
1796.3,141250.49,-8.84,3267,-439
1796.85,141358.75,-8.38,3268,-436.2
1797.4,141464.06,-8.81,3269,-438.8
1797.95,141572.75,-9.33,3270,-442
1798.5,141686.05,-8,3271,-433.9
1799.05,141787.25,-7.95,3272,-433.6
1799.6,141887.69,-8.51,3273,-437
1800.15,141993.29,-7.82,3274,-432.8
1800.7,142093.02,-8.42,3275,-436.4
1801.25,142198.1,-8.78,3276,-438.6
1801.8,142307.17,-9.29,3277,-441.7
1802.35,142420.06,-8.61,3278,-437.6
1802.9,142528.09,-8.71,3279,-438.2
1803.45,142636.14,-8.15,3280,-434.8
1804,142739.05,-8.27,3281,-435.5
1804.55,142842.79,-7.66,3282,-431.8
1805.1,142941.32,-8.23,3283,-435.3
1805.65,143045.28,-8.91,3284,-439.4
1806.2,143155.51,-8.84,3285,-439
1806.75,143265.85,-9.04,3286,-440.2
1807.3,143376.92,-8.04,3287,-434.1
1807.85,143479.47,-7.5,3288,-430.8
1808.4,143577.68,-8.51,3289,-437
1808.95,143683.99,-9.1,3290,-440.6
1809.5,143796.41,-8.35,3291,-436
1810.05,143902.93,-9.09,3292,-440.5
1810.6,144015.04,-8.87,3293,-439.2
1811.15,144125.39,-8.07,3294,-434.3
1811.7,144228.57,-7.64,3295,-431.7
1812.25,144328.15,-8.3,3296,-435.7
1812.8,144432.8,-8.34,3297,-436
1813.35,144538.46,-8.47,3298,-436.8
1813.9,144645.23,-7.93,3299,-433.5
1814.45,144747.64,-8.47,3300,-436.8
1815,144854.23,-8.27,3301,-435.6
1815.55,144959.24,-7.91,3302,-433.4
1816.1,145062.6,-8.96,3303,-439.8
1816.65,145173,-8.22,3304,-435.3
1817.2,145278.53,-8.1,3305,-434.6
1817.75,145382.28,-7.92,3306,-433.5
1818.3,145484.73,-8.99,3307,-440
1818.85,145596.97,-8.39,3308,-436.4
1819.4,145704.63,-8.8,3309,-438.9
1819.95,145815.93,-9.29,3310,-441.9
1820.5,145931.56,-8.82,3311,-439
1821.05,146042.8,-7.38,3312,-430.3
1821.6,146140.73,-8.09,3313,-434.6
1822.15,146244.91,-8.48,3314,-437
1822.7,146352.7,-8.33,3315,-436.1
1823.25,146459.11,-7.97,3316,-433.9
1823.8,146562.89,-8.18,3317,-435.2
1824.35,146664.92,-6.82,3318,-426.9
1824.9,146753.33,-8.33,3319,-436.1
1825.45,146857.01,-7.65,3320,-432
1826,146958.27,-7.9,3321,-433.5
1826.55,147060.22,-7.54,3322,-431.3
1827.1,147160.69,-8.26,3323,-435.7
1827.65,147266.55,-8.62,3324,-437.9
1828.2,147376.29,-8.78,3325,-438.9
1828.75,147487.93,-8.87,3326,-439.5
1829.3,147600.45,-8.49,3327,-437.2
1829.85,147710.05,-8.8,3328,-439.1
1830.4,147821.11,-8.07,3329,-434.7
1830.95,147926.04,-7.33,3330,-430.2
1831.5,148024.48,-7.35,3331,-430.3
1832.05,148123.27,-8.2,3332,-435.5
1832.6,148227.97,-7.66,3333,-432.2
1833.15,148327.01,-7.15,3334,-429.1
1833.7,148424.23,-7.94,3335,-433.9
1834.25,148527.38,-8.15,3336,-435.2
1834.8,148633.21,-8.38,3337,-436.6
1835.35,148741.38,-8.31,3338,-436.2
1835.9,148848.56,-7.65,3339,-432.2
1836.45,148950.67,-8.14,3340,-435.2
1837,149056.53,-8.31,3341,-436.2
1837.55,149163.91,-8.09,3342,-434.9
1838.1,149270.29,-8.49,3343,-437.3
1838.65,149379.13,-7.86,3344,-433.5
1839.2,149483.1,-7.86,3345,-433.5
1839.75,149586.36,-6.91,3346,-427.7
1840.3,149681.76,-7.84,3347,-433.4
1840.85,149784.28,-6.92,3348,-427.8
1841.4,149879.69,-7.14,3349,-429.1
1841.95,149976.26,-7,3350,-428.3
1842.5,150072.01,-6.96,3351,-428
1843.05,150167.3,-6.92,3352,-427.8
1843.6,150262.65,-7.17,3353,-429.3
1844.15,150359.52,-7.04,3354,-428.5
1844.7,150456.37,-7.55,3355,-431.6
1845.25,150556.77,-7.55,3356,-431.6
1845.8,150657.5,-7.31,3357,-430.2
1846.35,150756.83,-7.53,3358,-431.5
1846.9,150857.41,-7.43,3359,-430.9
1847.45,150957.8,-7.66,3360,-432.3
1848,151059.95,-7.77,3361,-433
1848.55,151162.85,-7.42,3362,-430.9
1849.1,151263.09,-7.16,3363,-429.3
1849.65,151362.24,-8.11,3364,-435.1
1850.2,151466.83,-7.01,3365,-428.4
1850.75,151565.24,-7.6,3366,-432
1851.3,151666.72,-7.7,3367,-432.6
1851.85,151769.62,-7.65,3368,-432.3
1852.4,151872.44,-7.76,3369,-433
1852.95,151976.19,-7.81,3370,-433.3
1853.5,152080.58,-7.93,3371,-434
1854.05,152185.98,-7.61,3372,-432.1
1854.6,152288.6,-7.43,3373,-431
1855.15,152389.48,-7.66,3374,-432.4
1855.7,152492.51,-7.4,3375,-430.8
1856.25,152593.06,-7.17,3376,-429.4
1856.8,152689.37,-7.45,3377,-431.1
1857.35,152790.71,-8.14,3378,-435.3
1857.9,152897.5,-7.83,3379,-433.4
1858.45,152991.1,-7.88,3380,-433.7
1859,153096.36,-7.88,3381,-433.7
1859.55,153202.22,-8.07,3382,-434.9
1860.1,153310.43,-8.65,3383,-438.4
1860.65,153422.81,-7.91,3384,-433.9
1861.2,153529.74,-7.89,3385,-433.8
1861.75,153635.79,-7.64,3386,-432.29
1862.3,153741.13,-7.97,3387,-434.3
1862.85,153848.38,-8.36,3388,-436.7
1863.4,153960.09,-9.1,3389,-441.2
1863.95,154078.44,-9,3390,-440.6
1864.5,154196.16,-8.03,3391,-434.7
1865.05,154304.79,-8.19,3392,-435.7
1865.6,154414.54,-8.43,3393,-437.2
1866.15,154526.69,-8.63,3394,-438.4
1866.7,154641.09,-9.28,3395,-442.4
1867.25,154762.49,-9.03,3396,-440.9
1867.8,154881.66,-8.72,3397,-439
1868.35,154997.75,-9.09,3398,-441.3
1868.9,155117.23,-8.93,3399,-440.3
1869.45,155235.39,-8.48,3400,-437.6
1870,155348.89,-8.53,3401,-437.9
1870.55,155463.6,-9.25,3402,-442.3
1871.1,155584.38,-8.36,3403,-436.9
1871.65,155697.02,-8.38,3404,-437
1872.2,155809.76,-8.62,3405,-438.5
1872.75,155925,-8.99,3406,-440.7
1873.3,156044.35,-9.92,3407,-446.4
1873.85,156174.46,-10.03,3408,-447.1
1874.4,156306.11,-9.58,3409,-444.34
1874.95,156436.08,-8.78,3410,-439.5
1875.5,156553.92,-8.96,3411,-440.6
1876.05,156673.8,-9.61,3412,-444.6
1876.6,156799.4,-8.53,3413,-438
1877.15,156915.27,-8.94,3414,-440.5
1877.7,157031.77,-8.77,3415,-439.5
1878.25,157149.25,-8.64,3416,-438.7
1878.8,157266.61,-9.52,3417,-444.1
1879.35,157391.97,-9.16,3418,-441.9
1879.9,157513.31,-8.27,3419,-436.5
1880.45,157627.02,-8.41,3420,-437.4
1881,157741.52,-8.82,3421,-439.85
1881.55,157855.97,-8.48,3422,-437.8
1882.1,157971.5,-9.04,3423,-441.2
1882.65,158091.86,-8.95,3424,-440.7
1883.2,158192.98,-9.02,3425,-441.1
1883.75,158292.68,-9.73,3426,-445.4
1884.3,158396.62,-9.07,3427,-441.4
1884.85,158496.96,-8.11,3428,-435.6
1885.4,158607.08,-7.92,3429,-434.4
1885.95,158712.9,-7.57,3430,-432.3
1886.5,158813.38,-7.29,3431,-430.6
1887.05,158911.21,-6.06,3432,-423.1
1887.6,159010.3,-6.52,3433,-425.9
1888.15,159104.7,-5.74,3434,-421.1
1888.7,159200.15,-6.86,3435,-427.9
1889.25,159298.05,-7.49,3436,-431.7
1889.8,159386.75,-6.99,3437,-428.7
1890.35,159490.19,-6.93,3438,-428.3
1890.9,159588.11,-7.3,3439,-430.5
1891.45,159691.68,-7.38,3440,-431
1892,159795.89,-7.58,3441,-432.17
1892.55,159897.37,-7.96,3442,-434.51
1893.1,160002.24,-7.46,3443,-431.46
1893.65,160106.21,-7.47,3444,-431.52
1894.2,160208.88,-7.39,3445,-430.99
1894.75,160323.39,-7.7,3446,-432.9
1895.3,160432.21,-7.57,3447,-432.1
1895.85,160539.02,-7.57,3448,-432.1
1896.4,160643.55,-8.17,3449,-435.7
1896.95,160756.11,-8.02,3450,-434.8
1897.5,160867.92,-8.1,3451,-435.3
1898.05,160980.62,-8.23,3452,-436.1
1898.6,161097.39,-8,3453,-434.7
1899.15,161210.3,-9.04,3454,-441
1899.7,161329.57,-8.87,3455,-440
1900.25,161443.49,-8.13,3456,-435.5
1900.8,161558.41,-7.24,3457,-430.1
1901.35,161662.78,-6.93,3458,-428.2
1901.9,161763.84,-7.54,3459,-431.9
1902.45,161876.68,-6.73,3460,-427
1903,161974.2,-6.62,3461,-426.3
1903.55,162076.83,-6.39,3462,-424.9
1904.1,162177.84,-6.47,3463,-425.4
1904.65,162277.77,-6.21,3464,-423.8
1905.2,162375.33,-6.91,3465,-428
1905.75,162475.81,-6.17,3466,-423.49
1906.3,162570,-7.32,3467,-430.5
1906.85,162671.68,-7.82,3468,-433.5
1907.4,162774.87,-6.83,3469,-427.5
1907.95,162877.02,-6.97,3470,-428.3
1908.5,162979.02,-6.88,3471,-427.8
1909.05,163080.44,-6.92,3472,-428
1909.6,163182.4,-7.45,3473,-431.2
1910.15,163289.11,-7.12,3474,-429.2
1910.7,163393.18,-8.58,3475,-438.1
1911.25,163505.99,-8.52,3476,-437.7
1911.8,163622.8,-7.4,3477,-430.9
1912.35,163730.5,-7.12,3478,-429.2
1912.9,163835.49,-8.4,3479,-437
1913.45,163952.94,-9.28,3480,-442.41
1914,164074.02,-8.93,3481,-440.3
1914.55,164197.89,-9.49,3482,-443.7
1915.1,164327.68,-9.12,3483,-441.5
1915.65,164453.36,-8.38,3484,-437
1916.2,164571.96,-8.62,3485,-438.5
1916.75,164692.16,-8.75,3486,-439.3
1917.3,164813.84,-8.54,3487,-438
1917.85,164933.53,-8.25,3488,-436.3
1918.4,165050.91,-9.19,3489,-442
1918.95,165176.9,-8.92,3490,-440.39
1919.5,165297.25,-8.64,3491,-438.7
1920.05,165417.21,-7.77,3492,-433.4
1920.6,165529.99,-8.19,3493,-436
1921.15,165646.16,-8.73,3494,-439.3
1921.7,165767.76,-8.39,3495,-437.2
1922.25,165886.54,-8.19,3496,-436
1922.8,166002.68,-8,3497,-434.9
1923.35,166118.58,-9.08,3498,-441.48
1923.9,166244.85,-8.54,3499,-438.2
1924.45,166358.39,-8.15,3500,-435.8
1925,166473.6,-7.63,3501,-432.7
1925.55,166585.04,-8.6,3502,-438.6
1926.1,166705.86,-8.34,3503,-437
1926.65,166824.45,-8.88,3504,-440.3
1927.2,166941.45,-7.38,3505,-431.2
1927.75,167050.09,-7.61,3506,-432.6
1928.3,167160.56,-7.54,3507,-432.2
1928.85,167270.75,-7.56,3508,-432.3
1929.4,167380.35,-7.34,3509,-431
1929.95,167481.76,-6.98,3510,-428.8
1930.5,167586.25,-7.95,3511,-434.7
1931.05,167700.3,-7.41,3512,-431.4
1931.6,167809.47,-7.16,3513,-429.9
1932.15,167915.27,-6.32,3514,-424.8
1932.7,168015.21,-6.79,3515,-427.6
1933.25,168116.65,-6.06,3516,-423.2
1933.8,168213.28,-5.83,3517,-421.8
1934.35,168308.97,-6.76,3518,-427.4
1934.9,168413.05,-7.09,3519,-429.4
1935.45,168515.76,-6.46,3520,-425.6
1936,168616.22,-6.68,3521,-426.9
1936.55,168719.12,-8.14,3522,-435.8
1937.1,168830.35,-7.89,3523,-434.3
1937.65,168937.37,-6.46,3524,-425.6
1938.2,169037.52,-6.58,3525,-426.3
1938.75,169138.66,-6.49,3526,-425.8
1939.3,169239.08,-6.79,3527,-427.6
1939.85,169342.63,-7.53,3528,-432.1
1940.4,169453.34,-7.63,3529,-432.7
1940.95,169565.09,-7.54,3530,-432.2
1941.5,169675.45,-6.64,3531,-426.7
1942.05,169778.28,-6.59,3532,-426.4
1942.6,169880.75,-8.03,3533,-435.2
1943.15,169996.22,-7.65,3534,-432.9
1943.7,170109.4,-7.91,3535,-434.5
1944.25,170225.84,-8.13,3536,-435.84
1944.8,170343.25,-8.31,3537,-436.91
1945.35,170456.88,-8.12,3538,-435.8
1945.9,170569.22,-8.27,3539,-436.73
1946.45,170682.07,-8.12,3540,-435.83
1947,170799.11,-8.18,3541,-436.22
1947.55,170915.5,-8.44,3542,-437.82
1948.1,171035.62,-8.56,3543,-438.58
1948.65,171156.54,-8.13,3544,-436
1949.2,171275.38,-8.28,3545,-436.9
1949.75,171394.94,-7.4,3546,-431.6
1950.3,171505.34,-6.97,3547,-429
1950.85,171609.92,-6.55,3548,-426.4
1951.4,171711.65,-6.03,3549,-423.3
1951.95,171810.25,-6.64,3550,-427
1952.5,171911.82,-5.92,3551,-422.6
1953.05,172008.9,-5.84,3552,-422.1
1953.6,172105.57,-6.68,3553,-427.24
1954.15,172208.27,-6.1,3554,-423.7
1954.7,172308.25,-7.1,3555,-429.8
1955.25,172414.67,-6.76,3556,-427.7
1955.8,172520.35,-7.45,3557,-431.9
1956.35,172631.56,-6.71,3558,-427.47
1956.9,172748.74,-7.46,3559,-432
1957.45,172861.26,-7.64,3560,-433.1
