TSid,dataSetName,archiveType,pub1_authors,pub1_year,pub1_doi,pub2_authors,pub2_year,pub2_doi,originalDataUrl,lat,lon,elevation,siteName,subRegion,minYear,maxYear,proxy,measurementMaterial,variableName,variableNameOriginal,units,description,"paleoDataNotes
",climateVariable,climateVariableDetail,seasonality,direction,basis,calibration_method,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse
GH44c0a9bf,LowerBearLake.Kirby.2012,LakeSediment,"Kirby, Matthew E. ; Zimmerman, Susan R.H. ; Patterson, William P. ; Rivera, Jose J.",2012,10.1016/j.quascirev.2012.05.008,NA,NA,NA,NA,34.2,-116.9,2059,Lower Bear Lake,WNA,475.51,9355.9,TOC,NA,LOI,LOI550C,m,LOIOrganicCarbon,NA,M,NA,winter,positive,interpreted as higher organic matter linked to increased runnoff....,NA,NA,TRUE,NA,"Record of pluvials with an annual/winter season interpretation ""These conditions include a significantly southward displaced, winter season polar front jet stream, its associated storm tracks, and moisture transport from the tropical North Pacific. Moreover, these conditions must persist on a near annual (winter season) basis for the duration of the lake            s existence. To develop and maintain decadal-to-multi-centennial scale lakes in the Mojave River sink requires atmospheric conditions that generate higher- than-average winter precipitation across the region on a recur- ring annual basis.""",http://lipdverse.org/globalHolocene/0_23_0/LowerBearLake.Kirby.2012.html
GH64dc7173,LowerBearLake.Kirby.2012,LakeSediment,"Kirby, Matthew E. ; Zimmerman, Susan R.H. ; Patterson, William P. ; Rivera, Jose J.",2012,10.1016/j.quascirev.2012.05.008,NA,NA,NA,NA,34.2,-116.9,2059,Lower Bear Lake,WNA,475.51,9355.9,NA,NA,LOI,LOI950C,m,LOICarbonate,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LowerBearLake.Kirby.2012.html
GH593b4e4c,LowerBearLake.Kirby.2012,LakeSediment,"Kirby, Matthew E. ; Zimmerman, Susan R.H. ; Patterson, William P. ; Rivera, Jose J.",2012,10.1016/j.quascirev.2012.05.008,NA,NA,NA,NA,34.2,-116.9,2059,Lower Bear Lake,WNA,475.51,9355.9,NA,NA,Ostracods,NA,NA,Ostracodcount,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LowerBearLake.Kirby.2012.html
GH765b8c3a,LowerBearLake.Kirby.2012,LakeSediment,"Kirby, Matthew E. ; Zimmerman, Susan R.H. ; Patterson, William P. ; Rivera, Jose J.",2012,10.1016/j.quascirev.2012.05.008,NA,NA,NA,NA,34.2,-116.9,2059,Lower Bear Lake,WNA,475.51,9355.9,NA,NA,Gastropods,NA,NA,Gastropodcount,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LowerBearLake.Kirby.2012.html
GH0caf1e89,LowerBearLake.Kirby.2012,LakeSediment,"Kirby, Matthew E. ; Zimmerman, Susan R.H. ; Patterson, William P. ; Rivera, Jose J.",2012,10.1016/j.quascirev.2012.05.008,NA,NA,NA,NA,34.2,-116.9,2059,Lower Bear Lake,WNA,475.51,9339.94,NA,NA,MolarCN,NA,NA,molarCNratio,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LowerBearLake.Kirby.2012.html
PYT7ZDYFS88,LR01.Gajewski.1993,LakeSediment,NA,1993,10.2307/2261522,NA,NA,NA,NA,58.5833,-75.25,170,LR01,NA,88,7562,pollen,NA,temperature,NA,degC,NA,NA,T,air@surface,COLDEST,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LR01.Gajewski.1993.html
PYTKX89ERPK,LR01.Gajewski.1993,LakeSediment,NA,1993,10.2307/2261522,NA,NA,NA,NA,58.5833,-75.25,170,LR01,NA,88,7562,pollen,NA,precipitation,Precip,mm,NA,NA,M,precip@surface,ANN,NA,NA,NA,NA,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LR01.Gajewski.1993.html
PYTWWG3IFQS,LS009.Ledu.2010,MarineSediment,NA,2010,10.1016/j.quascirev.2010.06.018,NA,NA,NA,NA,74.187,-81.195,-781,LS009,NA,2034.7,10821,dinocyst,NA,temperature,NA,degC,NA,NA,T,sea@surface,Summer,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LS009.Ledu.2010.html
PYTHSDSPC9F,LS009.Ledu.2010,MarineSediment,NA,2010,10.1016/j.quascirev.2010.06.018,NA,NA,NA,NA,74.187,-81.195,-781,LS009,NA,2034.7,10821,dinocyst,NA,salinity,Salinity,psu,NA,NA,S,SSS,Summer,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LS009.Ledu.2010.html
PYTQSAS9CKU,LS009.Ledu.2010,MarineSediment,NA,2010,10.1016/j.quascirev.2010.06.018,NA,NA,NA,NA,74.187,-81.195,-781,LS009,NA,2034.7,10821,dinocyst,NA,Sea_Ice_months,NA,months/year,NA,NA,ICE,sea@surface,ANN,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LS009.Ledu.2010.html
PYTFUMILW73,LS009.Ledu.2010,MarineSediment,NA,2010,10.1016/j.quascirev.2010.06.018,NA,NA,NA,NA,74.187,-81.195,-781,LS009,NA,2034.7,10821,dinocyst,NA,Sea_Ice_conc,NA,0-10,NA,NA,ICE,sea@surface,ANN,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LS009.Ledu.2010.html
PYT2OBCGUYG,LS009.Ledu.2010,MarineSediment,NA,2010,10.1016/j.quascirev.2010.06.018,NA,NA,NA,NA,74.187,-81.195,-781,LS009,NA,2034.7,10821,dinocyst,NA,productivity,NA,gcm2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LS009.Ledu.2010.html
PYTPMR6YOE9,LS009.Ledu.2010,MarineSediment,NA,2010,10.1016/j.quascirev.2010.06.018,NA,NA,NA,NA,74.187,-81.195,-781,LS009,NA,2034.7,10821,dinocyst,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LS009.Ledu.2010.html
RQ7EPv7VgNI,LV29_114_3,MarineSediment,"Riethdorf, Jan-Rainer ; Max, Lars ; Nuernberg, Dirk ; Lembke-Jene, Lester ; Tiedemann, Ralf",2013,10.1002/palo.20014,"Max, Lars ; Riethdorf, Jan-Rainer ; Tiedemann, Ralf ; Smirnova, Maria ; Lembke-Jene, Lester ; Fahl, Kirsten ; Nuernberg, Dirk ; Matul, Alexander ; Mollenhauer, Gesine",2012,10.1029/2012PA002292,NA,49.3757,152.8779,-1762,LV29_114_3,NA,1100,14610,NA,bulk sediment,Uk37,UK37,NA,UK'37,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LV29_114_3.html
RPef9wv9akj,LV29_114_3,MarineSediment,"Riethdorf, Jan-Rainer ; Max, Lars ; Nuernberg, Dirk ; Lembke-Jene, Lester ; Tiedemann, Ralf",2013,10.1002/palo.20014,"Max, Lars ; Riethdorf, Jan-Rainer ; Tiedemann, Ralf ; Smirnova, Maria ; Lembke-Jene, Lester ; Fahl, Kirsten ; Nuernberg, Dirk ; Matul, Alexander ; Mollenhauer, Gesine",2012,10.1029/2012PA002292,NA,49.3757,152.8779,-1762,LV29_114_3,NA,1100,14610,alkenone,UK37,temperature,surface.temp,degC,SST_7_9_degC_Calculated_from_UK'37_Prahl,"calculated after Prahl et al., 1988",T,NA,NA,NA,NA,NA,NA,FALSE,RV,"failed age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_23_0/LV29_114_3.html
RVyhiicxoPM,LV29_114_3,MarineSediment,"Riethdorf, Jan-Rainer ; Max, Lars ; Nuernberg, Dirk ; Lembke-Jene, Lester ; Tiedemann, Ralf",2013,10.1002/palo.20014,"Max, Lars ; Riethdorf, Jan-Rainer ; Tiedemann, Ralf ; Smirnova, Maria ; Lembke-Jene, Lester ; Fahl, Kirsten ; Nuernberg, Dirk ; Matul, Alexander ; Mollenhauer, Gesine",2012,10.1029/2012PA002292,NA,49.3757,152.8779,-1762,LV29_114_3,NA,1100,14610,alkenone,UK37,temperature,surface.temp,degC,SST_7_9_degC_Calculated_from_UK'37_Mueller,"calculated after Mueller et al., 1998",T,NA,NA,NA,NA,NA,NA,FALSE,RV,"failed age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_23_0/LV29_114_3.html
Rwje3rvAJaa,LV29_114_3,MarineSediment,"Riethdorf, Jan-Rainer ; Max, Lars ; Nuernberg, Dirk ; Lembke-Jene, Lester ; Tiedemann, Ralf",2013,10.1002/palo.20014,"Max, Lars ; Riethdorf, Jan-Rainer ; Tiedemann, Ralf ; Smirnova, Maria ; Lembke-Jene, Lester ; Fahl, Kirsten ; Nuernberg, Dirk ; Matul, Alexander ; Mollenhauer, Gesine",2012,10.1029/2012PA002292,NA,49.3757,152.8779,-1762,LV29_114_3,NA,1100,14610,alkenone,UK37,temperature,surface.temp,degC,SST_7_9_degC_Calculated_from_UK37_Sikes_e,"calculated after Sikes et al., 1997",T,NA,NA,NA,NA,NA,NA,FALSE,RV,"failed age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_23_0/LV29_114_3.html
RJlyq2E09Sa,LV29_114_3,MarineSediment,"Riethdorf, Jan-Rainer ; Max, Lars ; Nuernberg, Dirk ; Lembke-Jene, Lester ; Tiedemann, Ralf",2013,10.1002/palo.20014,"Max, Lars ; Riethdorf, Jan-Rainer ; Tiedemann, Ralf ; Smirnova, Maria ; Lembke-Jene, Lester ; Fahl, Kirsten ; Nuernberg, Dirk ; Matul, Alexander ; Mollenhauer, Gesine",2012,10.1029/2012PA002292,NA,49.3757,152.8779,-1762,LV29_114_3,NA,1100,26690,NA,bulk sediment,CaCO3,NA,percent,CaCO3_percent,CaCO3 = (TC - TOC) * 8.333,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LV29_114_3.html
R5xTUIek9eZ,LV29_114_3,MarineSediment,"Riethdorf, Jan-Rainer ; Max, Lars ; Nuernberg, Dirk ; Lembke-Jene, Lester ; Tiedemann, Ralf",2013,10.1002/palo.20014,"Max, Lars ; Riethdorf, Jan-Rainer ; Tiedemann, Ralf ; Smirnova, Maria ; Lembke-Jene, Lester ; Fahl, Kirsten ; Nuernberg, Dirk ; Matul, Alexander ; Mollenhauer, Gesine",2012,10.1029/2012PA002292,NA,49.3757,152.8779,-1762,LV29_114_3,NA,1200,20320,NA,benthic foraminifera calcite,d13C,benthic.d13C,permil,U_auberiana_d13C_per_mil_PDB,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LV29_114_3.html
RLlA7SzJpv8,LV29_114_3,MarineSediment,"Riethdorf, Jan-Rainer ; Max, Lars ; Nuernberg, Dirk ; Lembke-Jene, Lester ; Tiedemann, Ralf",2013,10.1002/palo.20014,"Max, Lars ; Riethdorf, Jan-Rainer ; Tiedemann, Ralf ; Smirnova, Maria ; Lembke-Jene, Lester ; Fahl, Kirsten ; Nuernberg, Dirk ; Matul, Alexander ; Mollenhauer, Gesine",2012,10.1029/2012PA002292,NA,49.3757,152.8779,-1762,LV29_114_3,NA,1200,20320,NA,benthic foraminifera calcite,d18O,benthic.d18O,permil,U_auberiana_d18O_per_mil_PDB,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LV29_114_3.html
RuyK4c4SyJd,LV29_114_3,MarineSediment,"Riethdorf, Jan-Rainer ; Max, Lars ; Nuernberg, Dirk ; Lembke-Jene, Lester ; Tiedemann, Ralf",2013,10.1002/palo.20014,"Max, Lars ; Riethdorf, Jan-Rainer ; Tiedemann, Ralf ; Smirnova, Maria ; Lembke-Jene, Lester ; Fahl, Kirsten ; Nuernberg, Dirk ; Matul, Alexander ; Mollenhauer, Gesine",2012,10.1029/2012PA002292,NA,49.3757,152.8779,-1762,LV29_114_3,NA,1200,20320,NA,benthic foraminifera calcite,d13C,benthic.d13C,permil,U_peregrina_d13C_per_mil_PDB,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LV29_114_3.html
Rrl0BihylO6,LV29_114_3,MarineSediment,"Riethdorf, Jan-Rainer ; Max, Lars ; Nuernberg, Dirk ; Lembke-Jene, Lester ; Tiedemann, Ralf",2013,10.1002/palo.20014,"Max, Lars ; Riethdorf, Jan-Rainer ; Tiedemann, Ralf ; Smirnova, Maria ; Lembke-Jene, Lester ; Fahl, Kirsten ; Nuernberg, Dirk ; Matul, Alexander ; Mollenhauer, Gesine",2012,10.1029/2012PA002292,NA,49.3757,152.8779,-1762,LV29_114_3,NA,1200,20320,NA,benthic foraminifera calcite,d18O,benthic.d18O,permil,U_peregrina_d18O_per_mil_PDB,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LV29_114_3.html
RAg0hVMvDri,LV29_114_3,MarineSediment,"Riethdorf, Jan-Rainer ; Max, Lars ; Nuernberg, Dirk ; Lembke-Jene, Lester ; Tiedemann, Ralf",2013,10.1002/palo.20014,"Max, Lars ; Riethdorf, Jan-Rainer ; Tiedemann, Ralf ; Smirnova, Maria ; Lembke-Jene, Lester ; Fahl, Kirsten ; Nuernberg, Dirk ; Matul, Alexander ; Mollenhauer, Gesine",2012,10.1029/2012PA002292,NA,49.3757,152.8779,-1762,LV29_114_3,NA,1120,20320,NA,planktic foraminifera calcite,planktic.d18O,NA,permil,N_pachyderma_s_d18O_per_mil_PDB,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LV29_114_3.html
R1yqp0ODLju,LV29_114_3,MarineSediment,"Riethdorf, Jan-Rainer ; Max, Lars ; Nuernberg, Dirk ; Lembke-Jene, Lester ; Tiedemann, Ralf",2013,10.1002/palo.20014,"Max, Lars ; Riethdorf, Jan-Rainer ; Tiedemann, Ralf ; Smirnova, Maria ; Lembke-Jene, Lester ; Fahl, Kirsten ; Nuernberg, Dirk ; Matul, Alexander ; Mollenhauer, Gesine",2012,10.1029/2012PA002292,NA,49.3757,152.8779,-1762,LV29_114_3,NA,1120,20320,NA,planktic foraminifera calcite,planktic.MgCa,NA,mmol_mol,N_pachyderma_Mg_Ca_mmol_mol,cleaining protocol after Barker et al. (2003) including an additional reductive cleaning step,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LV29_114_3.html
RzWZnUm0uNV,LV29_114_3,MarineSediment,"Riethdorf, Jan-Rainer ; Max, Lars ; Nuernberg, Dirk ; Lembke-Jene, Lester ; Tiedemann, Ralf",2013,10.1002/palo.20014,"Max, Lars ; Riethdorf, Jan-Rainer ; Tiedemann, Ralf ; Smirnova, Maria ; Lembke-Jene, Lester ; Fahl, Kirsten ; Nuernberg, Dirk ; Matul, Alexander ; Mollenhauer, Gesine",2012,10.1029/2012PA002292,NA,49.3757,152.8779,-1762,LV29_114_3,NA,1120,20320,Mg/Ca,MgCa,temperature,surface.temp,degC,SST_7_9_degC,"calculated after Kozdon et al., 2009",T,NA,NA,NA,NA,NA,NA,FALSE,RV,"failed age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_23_0/LV29_114_3.html
RehyedbLpo6,LV29_114_3,MarineSediment,"Riethdorf, Jan-Rainer ; Max, Lars ; Nuernberg, Dirk ; Lembke-Jene, Lester ; Tiedemann, Ralf",2013,10.1002/palo.20014,"Max, Lars ; Riethdorf, Jan-Rainer ; Tiedemann, Ralf ; Smirnova, Maria ; Lembke-Jene, Lester ; Fahl, Kirsten ; Nuernberg, Dirk ; Matul, Alexander ; Mollenhauer, Gesine",2012,10.1029/2012PA002292,NA,49.3757,152.8779,-1762,LV29_114_3,NA,1160,19780,NA,bulk sediment,BSi,NA,percent,bSiO2 [%],NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LV29_114_3.html
R8iFuYkgAj3,Lyadhej-To.Pollen.Russia,LakeSediment,"Andreev, Andrei A. ; Tarasov, Pavel E. ; Ilyashuk, Boris P. ; Ilyashuk, Elena A. ; Cremer, Holger ; Hermichen, Wolf-Dieter ; Wischer, Frank ; Hubberten, Hans-Wolfgang",2005,10.1016/j.palaeo.2005.04.004,NA,NA,NA,NA,68.25,65.75,150,Lyadhej-To,NA,177,10528,pollen,NA,uncertainty,Uncertaintyplus1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,BSAD,NA,http://lipdverse.org/globalHolocene/0_23_0/Lyadhej-To.Pollen.Russia.html
R9vHg5WVJNS,Lyadhej-To.Pollen.Russia,LakeSediment,"Andreev, Andrei A. ; Tarasov, Pavel E. ; Ilyashuk, Boris P. ; Ilyashuk, Elena A. ; Cremer, Holger ; Hermichen, Wolf-Dieter ; Wischer, Frank ; Hubberten, Hans-Wolfgang",2005,10.1016/j.palaeo.2005.04.004,NA,NA,NA,NA,68.25,65.75,150,Lyadhej-To,NA,177,10528,pollen,NA,uncertainty,Uncertaintyminus1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,BSAD,NA,http://lipdverse.org/globalHolocene/0_23_0/Lyadhej-To.Pollen.Russia.html
RZqR7R8hZSY,Lyadhej-To.Pollen.Russia,LakeSediment,"Andreev, Andrei A. ; Tarasov, Pavel E. ; Ilyashuk, Boris P. ; Ilyashuk, Elena A. ; Cremer, Holger ; Hermichen, Wolf-Dieter ; Wischer, Frank ; Hubberten, Hans-Wolfgang",2005,10.1016/j.palaeo.2005.04.004,NA,NA,NA,NA,68.25,65.75,150,Lyadhej-To,NA,177,10528,pollen,NA,reliable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,BSAD,NA,http://lipdverse.org/globalHolocene/0_23_0/Lyadhej-To.Pollen.Russia.html
M2L4h603qtyP,Lynn.Nichols.1967,LakeSediment,NA,NA,NA,NA,NA,NA,NA,56.84,-101.04,340,NA,NA,314.2,7428,pollen,NA,temperatureWarmest,NA,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Lynn.Nichols.1967.html
M2L8fvxct35P,Lynn.Nichols.1967,LakeSediment,NA,NA,NA,NA,NA,NA,NA,56.84,-101.04,340,NA,NA,314.2,7428,pollen,NA,temperature,temperatureColdest,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Lynn.Nichols.1967.html
M2Lckizgk8rP,Lynn.Nichols.1967,LakeSediment,NA,NA,NA,NA,NA,NA,NA,56.84,-101.04,340,NA,NA,314.2,7428,pollen,NA,precipitation,NA,mm,NA,NA,P,@surface,NA,NA,NA,MAT,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Lynn.Nichols.1967.html
M2LwpcxxempP,M_Lake.Ritchie.1977,LakeSediment,NA,NA,NA,NA,NA,NA,NA,68.27,-133.47,105,NA,NA,0,13807,pollen,NA,temperatureWarmest,NA,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M_Lake.Ritchie.1977.html
M2Lbyxlfr07P,M_Lake.Ritchie.1977,LakeSediment,NA,NA,NA,NA,NA,NA,NA,68.27,-133.47,105,NA,NA,0,13807,pollen,NA,temperature,temperatureColdest,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M_Lake.Ritchie.1977.html
M2L4g91g0giP,M_Lake.Ritchie.1977,LakeSediment,NA,NA,NA,NA,NA,NA,NA,68.27,-133.47,105,NA,NA,0,13807,pollen,NA,precipitation,NA,mm,NA,NA,P,@surface,NA,NA,NA,MAT,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M_Lake.Ritchie.1977.html
RNu6q4GZ7fm,M25_4_KL11,MarineSediment,"Emeis, Kay-Christian ; Struck, Ulrich ; Schulz, Hans-Martin ; Rosenberg, Reinhild ; Bernasconi, Stefano ; Erlenkeuser, Helmut ; Sakamoto, Tatsuhiko ; Martinez-Ruiz, Francisca",2000,10.1016/S0031-0182(00)00053-5,"Allen, Judy R. M. ; Brandt, Ute ; Brauer, Achim ; Hubberten, Hans-Wolfgang ; Huntley, Brian ; Keller, Joerg ; Kraml, Michael ; Mackensen, Andreas ; Mingram, Jens ; Negendank, Joerg F. W. ; Nowaczyk, Norbert R. ; Oberhaensli, Hedi ; Watts, William A. ; Wulf, Sabine ; Zolitschka, Bernd",1999,10.1038/23432,NA,36.7458,17.7175,-3376,M25_4_KL11,NA,150,11160,alkenone,UK37,temperature,surface.temp,degC,SST_1_12_degC,NA,T,NA,NA,NA,NA,NA,NA,FALSE,RV,"failed age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_23_0/M25_4_KL11.html
RcN9AHqTBsv,M25_4_KL11,MarineSediment,"Emeis, Kay-Christian ; Struck, Ulrich ; Schulz, Hans-Martin ; Rosenberg, Reinhild ; Bernasconi, Stefano ; Erlenkeuser, Helmut ; Sakamoto, Tatsuhiko ; Martinez-Ruiz, Francisca",2000,10.1016/S0031-0182(00)00053-5,"Allen, Judy R. M. ; Brandt, Ute ; Brauer, Achim ; Hubberten, Hans-Wolfgang ; Huntley, Brian ; Keller, Joerg ; Kraml, Michael ; Mackensen, Andreas ; Mingram, Jens ; Negendank, Joerg F. W. ; Nowaczyk, Norbert R. ; Oberhaensli, Hedi ; Watts, William A. ; Wulf, Sabine ; Zolitschka, Bernd",1999,10.1038/23432,NA,36.7458,17.7175,-3376,M25_4_KL11,NA,2122,110817,NA,planktic foraminifera calcite,planktic.d18O,NA,permil,G_ruber_d18O_per_mil_PDB,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M25_4_KL11.html
R6fPn2Br9Sg,M25_4_KL11,MarineSediment,"Emeis, Kay-Christian ; Struck, Ulrich ; Schulz, Hans-Martin ; Rosenberg, Reinhild ; Bernasconi, Stefano ; Erlenkeuser, Helmut ; Sakamoto, Tatsuhiko ; Martinez-Ruiz, Francisca",2000,10.1016/S0031-0182(00)00053-5,"Allen, Judy R. M. ; Brandt, Ute ; Brauer, Achim ; Hubberten, Hans-Wolfgang ; Huntley, Brian ; Keller, Joerg ; Kraml, Michael ; Mackensen, Andreas ; Mingram, Jens ; Negendank, Joerg F. W. ; Nowaczyk, Norbert R. ; Oberhaensli, Hedi ; Watts, William A. ; Wulf, Sabine ; Zolitschka, Bernd",1999,10.1038/23432,NA,36.7458,17.7175,-3376,M25_4_KL11,NA,2122,110817,NA,planktic foraminifera calcite,planktic.d18O,NA,permil,G_bulloides_d18O_per_mil_PDB,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M25_4_KL11.html
GHf36a1b7c,M25and4KL11.Emeis.2003,LakeSediment,"Emeis, Kay-Christian ; Struck, Ulrich ; Blanz, Thomas ; Kohly, Alexander ; Voβ, Maren",2003,10.1191/0959683603hl634rp,NA,NA,NA,NA,36.7,17.7,-3376,M25/4-KL11,unassigned,150,11160,NA,NA,Uk37,UK_37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M25and4KL11.Emeis.2003.html
RdO30eYawYJ,M35003_4,MarineSediment,"Ruehlemann, Carsten ; Mulitza, Stefan ; Mueller, Peter J. ; Wefer, Gerold ; Zahn, Rainer",1999,10.1038/990069,NA,NA,10.2312/reports-ifg.2001.13,NA,12.0897,-61.2437,-1299,M35003_4,NA,0,24540,NA,bulk sediment,C37.concentration,NA,g,37_2conc,32-2. Multiplied by 1000 to get ng_g,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M35003_4.html
RYS26m1CzsQ,M35003_4,MarineSediment,"Ruehlemann, Carsten ; Mulitza, Stefan ; Mueller, Peter J. ; Wefer, Gerold ; Zahn, Rainer",1999,10.1038/990069,NA,NA,10.2312/reports-ifg.2001.13,NA,12.0897,-61.2437,-1299,M35003_4,NA,0,24540,NA,bulk sediment,C37.concentration,NA,g,37_3conc,32-3. Multiplied by 1000 to get ng_g,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M35003_4.html
RAYCTpSxmsZ,M35003_4,MarineSediment,"Ruehlemann, Carsten ; Mulitza, Stefan ; Mueller, Peter J. ; Wefer, Gerold ; Zahn, Rainer",1999,10.1038/990069,NA,NA,10.2312/reports-ifg.2001.13,NA,12.0897,-61.2437,-1299,M35003_4,NA,0,24540,NA,planktic foraminifera calcite,planktic.d18O,NA,permil,d18Og_rub_p,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M35003_4.html
RI2vCrHM2fw,M35003_4,MarineSediment,"Ruehlemann, Carsten ; Mulitza, Stefan ; Mueller, Peter J. ; Wefer, Gerold ; Zahn, Rainer",1999,10.1038/990069,NA,NA,10.2312/reports-ifg.2001.13,NA,12.0897,-61.2437,-1299,M35003_4,NA,0,24540,NA,UK37,temperature,surface.temp,degC,sst_uk37,"Calculated from UK'37 (Mueller et al, 1998)",T,NA,NA,NA,NA,NA,NA,FALSE,RV,"failed age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_23_0/M35003_4.html
R8mdEg5MmpL,M35003_4,MarineSediment,"Ruehlemann, Carsten ; Mulitza, Stefan ; Mueller, Peter J. ; Wefer, Gerold ; Zahn, Rainer",1999,10.1038/990069,NA,NA,10.2312/reports-ifg.2001.13,NA,12.0897,-61.2437,-1299,M35003_4,NA,0,24540,NA,bulk sediment,Uk37,UK37,NA,uk37,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M35003_4.html
R5wdyxkjJyr,M35003_4,MarineSediment,"Ruehlemann, Carsten ; Mulitza, Stefan ; Mueller, Peter J. ; Wefer, Gerold ; Zahn, Rainer",1999,10.1038/990069,NA,NA,10.2312/reports-ifg.2001.13,NA,12.0897,-61.2437,-1299,M35003_4,NA,Inf,-Inf,NA,planktic foraminifera assemblage,temperature,surface.temp,degC,SST_win_degC,SIMMAX-950 equation (Pflaumann et al. 1996); counts by Huels 2000,T,NA,NA,NA,NA,NA,NA,FALSE,RV,"failed age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_23_0/M35003_4.html
RMD9Cw1t1oU,M35003_4,MarineSediment,"Ruehlemann, Carsten ; Mulitza, Stefan ; Mueller, Peter J. ; Wefer, Gerold ; Zahn, Rainer",1999,10.1038/990069,NA,NA,10.2312/reports-ifg.2001.13,NA,12.0897,-61.2437,-1299,M35003_4,NA,Inf,-Inf,NA,planktic foraminifera assemblage,temperature,surface.temp,degC,SST_sum_degC,SIMMAX-950 equation (Pflaumann et al. 1996); counts by Huels 2000,T,NA,NA,NA,NA,NA,NA,FALSE,RV,"failed age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_23_0/M35003_4.html
