depth (m),age (BP),depth (m),age (BP),planktic.d13C (permil),depth (m),age (BP),TOC (percent),depth (m),age (BP),CaCO3 (percent),depth (m),age (BP),temperature (degC),temperature (degC),depth (m),age (BP),temperature (degC),temperature (degC),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol),depth (m),age (BP),temperature (degC),temperature (degC),depth (m),d18O (permil),d13C (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),planktic.MgCa (mmol_mol),depth (m),planktic.MgCa (mmol_mol)
21.77,234150,21.57,231850,1.34,19.47,203750,0.54,19.47,203750,57.7,NA,NA,NA,NA,6.4,37992,22.2,26.1,2.4,4,3.845,20050,25.6,23.13,5.96,3.58,0.33,3.845,0.01,NA,3.305,-1.15,NA,13.39,4.98,13.41,2.2
21.97,236420,21.77,234150,1.22,19.57,205310,0.59,19.57,205310,58.6,NA,NA,NA,NA,6.41,38071,21.9,25.8,2.3,3.9,3.865,20150,24.92,21.82,5.97,3.64,0.29,3.865,-0.2,NA,3.32,-1.11,NA,13.4,5.31,13.42,2.46
22.17,238660,21.97,236420,1.17,19.67,206850,0.55,19.67,206850,58.8,NA,NA,NA,NA,6.42,38150,22.4,26,2.5,4,3.885,20250,25.48,NA,5.98,3.67,0.29,3.885,0.14,NA,3.325,-1.06,NA,13.41,4.8,13.43,2.39
22.37,240890,22.17,238660,1.03,19.77,208380,0.54,19.77,208380,59.6,NA,NA,NA,NA,6.43,38229,22,26,2.4,3.9,3.905,20350,25.19,23.14,5.99,3.62,0.25,3.905,0.25,NA,3.345,-1.16,NA,13.42,4.76,13.44,2.24
22.48,242110,22.37,240890,1.09,19.87,209880,0.53,19.87,209880,56.5,NA,NA,NA,NA,6.44,38307,22.3,26.2,2.4,4,3.925,20450,NA,NA,6,3.58,0.33,3.925,0.12,NA,3.365,-1.15,NA,13.43,5.22,13.45,2.37
22.68,244300,22.48,242110,1.13,19.97,211360,0.6,19.97,211360,54.9,NA,NA,NA,NA,6.45,38385,21,26.1,2.2,4,3.945,20550,25.73,23.43,6.01,3.55,0.24,3.945,0.03,NA,3.385,-1.04,NA,13.44,4.81,13.46,2.45
22.88,246480,22.68,244300,1.14,20.07,212800,0.59,20.07,212800,52,NA,NA,NA,NA,6.46,38463,21.5,26.1,2.3,4,3.965,20650,25.1,21.92,6.02,3.61,0.31,3.965,0.17,NA,3.405,-1.13,NA,13.45,5.14,13.47,2.46
23.08,248620,22.88,246480,1.19,20.27,215620,0.66,20.27,215620,51.7,NA,NA,NA,NA,6.47,38540,23,25.6,2.6,3.8,3.985,20750,25.66,NA,6.03,3.57,0.25,3.985,-0.21,NA,3.42,-1.14,NA,13.46,5.16,13.48,2.63
23.28,250740,23.08,248620,1.07,20.37,216980,0.74,20.37,216980,50.7,NA,NA,NA,NA,6.48,38617,21.2,25.3,2.2,3.7,4.005,20850,25.1,21.65,6.04,3.62,0.24,4.005,-0.15,NA,3.425,-1.23,NA,13.47,5.11,13.49,2.5
23.48,252810,23.28,250740,1.2,20.47,218330,0.77,20.47,218330,49.9,NA,NA,NA,NA,6.49,38694,21,25.6,2.2,3.8,4.025,20950,NA,NA,6.05,3.63,0.25,4.025,-0.13,NA,3.445,-1.08,NA,13.48,5.07,13.5,2.47
23.68,254870,23.48,252810,1.13,20.57,219650,0.84,20.57,219650,49.1,NA,NA,NA,NA,6.5,38771,21.4,25.8,2.3,3.9,4.045,21050,24.65,21.26,6.06,3.56,0.25,4.045,0.01,NA,3.465,-1.06,NA,13.49,5.3,13.52,2.75
23.88,256940,23.68,254870,1.01,20.67,220950,0.82,20.67,220950,49.6,NA,NA,NA,NA,6.51,38847,21.2,26,2.2,4,4.065,21150,24.89,21.26,6.07,3.56,0.24,4.065,0.07,NA,3.485,-1.25,NA,13.5,5.36,13.53,2.49
23.98,257990,23.88,256940,0.99,20.77,222220,0.8,20.77,222220,52.7,NA,NA,NA,NA,6.52,38924,20.6,25.1,2.1,3.6,4.085,21250,25.33,20.94,6.08,3.52,0.33,4.085,-0.23,NA,3.505,-0.89,NA,13.51,5.27,13.54,2.54
24.18,260100,23.98,257990,0.96,20.87,223480,0.85,20.87,223480,53.1,NA,NA,NA,NA,6.53,39000,21.4,25.7,2.2,3.8,4.105,21360,25.33,21.47,6.09,3.59,0.31,4.105,0.21,NA,3.52,-1.12,NA,13.52,5.01,13.55,2.57
24.38,262260,24.18,260100,1.03,20.97,224720,0.81,20.97,224720,51.7,NA,NA,NA,NA,6.54,39076,20.9,25.7,2.2,3.8,4.125,21460,NA,NA,6.1,3.57,0.28,4.125,-0.15,NA,3.525,-1.16,NA,13.53,5.22,13.56,2.56
24.58,264460,24.38,262260,1.04,21.07,225940,0.86,21.07,225940,52.1,NA,NA,NA,NA,6.55,39152,20.7,26.5,2.1,4.1,4.145,21560,25.63,21.23,6.11,3.45,0.25,4.145,-0.01,NA,3.545,-1.02,NA,13.54,5.17,13.57,2.58
24.78,266700,24.58,264460,0.96,21.17,227150,0.78,21.17,227150,50.6,NA,NA,NA,NA,6.56,39228,21.2,25.9,2.2,3.9,4.165,21660,24.8,22.36,6.12,3.62,0.28,4.165,-0.06,NA,3.565,-1.2,NA,13.56,5.17,13.58,2.75
24.98,268990,24.78,266700,1.18,21.27,228340,0.86,21.27,228340,51.4,NA,NA,NA,NA,6.57,39304,22.1,25.3,2.4,3.7,4.185,21760,25.14,20.68,6.13,3.61,0.27,4.185,0.13,NA,3.585,-1.19,NA,13.57,5.18,13.59,2.74
25.18,271330,24.98,268990,1.34,21.37,229520,0.83,21.37,229520,51.2,NA,NA,NA,NA,6.58,39381,22.2,25.5,2.4,3.8,4.205,21860,25.87,21.92,6.14,3.55,0.31,4.205,-0.06,NA,3.605,-1.01,NA,13.59,5.17,13.6,2.65
25.46,274810,25.18,271330,1.33,21.47,230690,0.79,21.47,230690,51,NA,NA,NA,NA,6.59,39457,20.2,25.2,2,3.7,4.225,21960,NA,NA,6.15,3.51,0.35,4.225,0.08,NA,3.62,-1.14,NA,13.6,5.07,13.61,2.81
25.66,277250,25.46,274810,1.23,21.57,231850,0.86,21.57,231850,50.7,NA,NA,NA,NA,6.6,39535,20.4,25.8,2.1,3.9,4.245,22060,25.34,22.01,6.16,3.51,0.31,4.245,-0.11,NA,3.625,-1.27,NA,13.61,5.07,13.62,2.79
25.87,279710,25.66,277250,1.43,21.67,233000,0.73,21.67,233000,50.1,NA,NA,NA,NA,6.61,39612,19.2,25.9,1.8,3.9,4.265,22160,25.25,21.88,6.17,3.55,0.33,4.265,-0.16,NA,3.645,-1.1,NA,13.62,5.03,13.63,2.54
26.06,282180,25.87,279710,1.61,21.77,234150,0.66,21.77,234150,48.4,NA,NA,NA,NA,6.62,39690,20.6,25.1,2.1,3.6,4.285,22260,24.34,21.48,6.18,3.51,0.36,4.285,-0.04,NA,3.685,-1.07,NA,13.64,5.11,13.64,2.7
26.26,284630,26.06,282180,1.36,21.87,235290,0.71,21.87,235290,45,NA,NA,NA,NA,6.63,39770,22,25.1,2.4,3.7,4.305,22360,25.23,20.92,6.19,3.57,0.31,4.305,0.1,NA,3.705,-1.1,NA,13.65,5.21,13.65,2.67
26.46,287070,26.26,284630,1.52,21.97,236420,0.65,21.97,236420,42.9,NA,NA,NA,NA,6.64,39850,20,25.5,2,3.8,4.325,22460,NA,NA,6.2,3.51,0.29,4.325,0.05,NA,3.72,-1.06,NA,13.66,5.21,13.66,2.67
26.66,289490,26.46,287070,1.4,22.07,237540,0.49,22.07,237540,49.1,NA,NA,NA,NA,6.65,39934,20.4,25.1,2.1,3.7,4.345,22560,26.19,20.74,6.21,3.46,0.33,4.345,0.05,NA,3.725,-1.1,NA,13.67,4.94,13.67,2.84
26.87,291900,26.66,289490,1.36,22.17,238660,0.74,22.17,238660,57,NA,NA,NA,NA,6.66,40020,21.6,24.7,2.3,3.5,4.365,22660,25.7,23.02,6.22,3.5,0.25,4.365,-0.24,NA,3.745,-1.45,NA,13.69,5.1,13.68,2.75
26.96,293110,26.87,291900,1.39,22.27,239780,0.78,22.27,239780,57,NA,NA,NA,NA,6.67,40110,19.9,25.2,2,3.7,4.385,22760,24.67,21.19,6.23,3.5,0.31,4.385,-0.1,NA,3.765,-1.05,NA,13.7,5.07,13.69,2.73
27.16,295540,26.97,293110,1.43,22.37,240890,1.18,22.37,240890,54.1,NA,NA,NA,NA,6.68,40200,20.4,26.3,2.1,4,4.405,22860,NA,NA,6.24,3.58,0.32,4.405,-0.46,NA,3.785,-1.13,NA,13.71,4.95,13.7,2.83
27.37,298020,27.16,295540,1.42,22.48,242220,1.25,22.48,242110,53.5,NA,NA,NA,NA,6.69,40292,19.9,24.5,2,3.5,4.425,22960,NA,NA,6.25,3.51,0.3,4.425,-0.21,NA,3.805,-1.17,NA,13.72,5.04,13.71,2.92
27.56,300550,27.37,298020,1.44,22.58,243320,1.26,22.58,243210,56.5,NA,NA,NA,NA,6.7,40384,20.1,25,2,3.6,4.445,23070,24.74,20.79,6.26,3.59,0.28,4.445,-0.21,NA,3.82,-1.01,NA,13.75,5.27,13.72,2.77
27.76,303100,27.56,300550,1.22,22.68,244410,1.45,22.68,244300,54.2,NA,NA,NA,NA,6.71,40477,20.8,25.3,2.1,3.7,NA,NA,NA,NA,6.27,3.59,0.24,4.48,-0.069,0.896,3.825,-1.11,NA,13.76,5.08,13.74,2.97
27.96,305630,27.76,303100,1.21,22.78,245500,1.45,22.78,245390,54.2,NA,NA,NA,NA,6.72,40570,20.4,25,2.1,3.6,NA,NA,NA,NA,6.28,3.6,0.33,4.5,-0.159,0.909,3.845,-1.27,NA,13.77,5.21,13.75,2.9
28.16,308110,27.96,305630,1.4,22.88,246580,1.53,22.88,246480,52.8,NA,NA,NA,NA,6.73,40664,20.9,24.9,2.1,3.6,NA,NA,NA,NA,6.29,3.52,0.27,4.51,-0.027,0.853,3.865,-1.27,NA,13.78,5.11,13.76,3.01
28.37,310530,28.16,308110,1.68,22.98,247660,1.55,22.98,247550,52.7,NA,NA,NA,NA,6.74,40758,20,25.4,2,3.7,NA,NA,NA,NA,6.3,3.63,0.31,4.52,0.189,1.013,3.885,-1.3,NA,13.79,5.12,13.77,3.06
28.46,311730,28.37,310530,1.62,23.08,248730,1.4,23.08,248620,52.3,NA,NA,NA,NA,6.75,40852,21.7,24.7,2.3,3.5,NA,NA,NA,NA,6.31,3.57,0.29,4.53,-0.063,1,3.905,-1.38,NA,13.8,5.21,13.78,3.14
28.66,314080,28.46,311730,1.51,23.18,249790,1.39,23.18,249680,52.8,NA,NA,NA,NA,6.76,40947,20.3,25.2,2,3.7,NA,NA,NA,NA,6.32,3.59,0.28,4.54,-0.044,0.87,3.92,-1.12,NA,13.81,5.12,13.79,3.01
28.87,316410,28.66,314080,1.39,23.28,250840,1.28,23.28,250740,50.3,NA,NA,NA,NA,6.77,41041,23,25.2,2.6,3.7,NA,NA,NA,NA,6.33,3.59,0.3,4.55,0.108,0.984,3.925,-1.45,NA,13.82,5.26,13.8,3.23
29.06,318710,28.87,316410,1.51,23.38,251880,1.25,23.38,251780,51.7,NA,NA,NA,NA,6.78,41136,21,26.2,2.2,4,NA,NA,NA,NA,6.34,3.58,0.25,4.56,0.057,0.92,3.945,-1.13,NA,13.83,5.16,13.81,3
29.26,321000,29.06,318710,1.35,23.48,252910,1.29,23.48,252810,51.6,NA,NA,NA,NA,6.79,41231,20.6,24.5,2.1,3.5,NA,NA,NA,NA,6.35,3.59,0.21,4.57,0.105,0.973,3.965,-1.42,NA,13.84,5.34,13.82,2.81
29.46,323290,29.26,321000,1.51,23.58,253940,1.37,23.58,253840,51.1,NA,NA,NA,NA,6.8,41326,20.3,24.9,2,3.6,NA,NA,NA,NA,6.36,3.56,0.28,4.58,-0.052,0.925,3.985,-1.17,NA,13.85,5.25,13.84,3.26
29.66,325590,29.46,323290,1.27,23.68,254980,1.41,23.68,254870,52.1,NA,NA,NA,NA,6.81,41421,20.3,26.2,2,4,NA,NA,NA,NA,6.37,3.56,0.26,4.59,0.039,1.023,4.005,-1.14,NA,13.86,5.26,13.85,2.92
29.87,327910,29.66,325590,1.31,23.78,256010,1.26,23.78,255900,50.8,NA,NA,NA,NA,6.82,41516,21.1,25.3,2.2,3.7,NA,NA,NA,NA,6.38,3.52,0.24,4.6,0.082,1.204,4.02,-1.13,NA,13.87,4.99,13.86,2.94
29.96,329070,29.96,329070,1.35,23.975,257050,1.3,23.975,257930,50.2,NA,NA,NA,NA,6.83,41611,21.3,24.7,2.2,3.5,NA,NA,NA,NA,6.39,3.46,0.23,4.61,-0.102,0.808,4.025,-1.15,NA,13.89,5.18,13.87,2.84
30.16,331380,30.16,331380,0.99,24.075,259090,1.19,24.075,258990,49.8,NA,NA,NA,NA,6.84,41706,20.4,24.9,2,3.6,NA,NA,NA,NA,6.4,3.55,0.3,4.62,0.026,0.968,4.045,-1.01,NA,13.9,5.46,13.88,3.23
30.37,333690,30.37,333690,0.94,24.175,260160,1.01,24.175,260050,52,NA,NA,NA,NA,6.85,41801,20,24.8,2,3.5,NA,NA,NA,NA,6.41,3.57,0.28,4.63,-0.014,0.916,4.065,-1.01,NA,13.91,5.24,13.89,3.21
30.56,336000,30.56,336000,1.02,24.275,261230,NA,24.275,261120,52.3,NA,NA,NA,NA,6.86,41896,20.3,24.5,2,3.5,NA,NA,NA,NA,6.42,3.31,0.36,4.64,0.065,0.927,4.085,-1.36,NA,13.92,5.52,13.9,3.02
30.76,338310,30.76,338310,1.28,24.375,262310,1.04,24.375,262210,47.3,NA,NA,NA,NA,6.87,41991,20.6,24.3,2.1,3.4,NA,NA,NA,NA,6.43,3.41,0.28,4.65,-0.119,1.083,4.105,-1.5,NA,13.93,5,13.91,3.11
30.96,340630,30.96,340630,1.02,24.475,263410,0.92,24.475,263300,46.1,NA,NA,NA,NA,6.88,42087,20.2,25.2,2,3.7,NA,NA,NA,NA,6.44,3.56,0.2,4.66,-0.045,1.004,4.12,-1.08,NA,13.94,4.74,13.92,2.98
31.16,342960,31.16,342960,1.08,24.575,264510,0.86,24.575,264400,47.2,NA,NA,NA,NA,6.89,42182,19.9,24.6,2,3.5,NA,NA,NA,NA,6.45,3.37,0.36,4.67,-0.03,0.955,4.125,-1.2,NA,13.95,4.61,13.93,2.85
31.37,345300,31.37,345300,1,24.675,265630,0.91,24.675,265510,45.5,NA,NA,NA,NA,6.9,42277,20.8,24.7,2.1,3.5,NA,NA,NA,NA,6.46,3.43,0.27,4.68,0.077,0.891,4.145,-1.27,NA,13.96,4.78,13.94,2.63
31.46,346470,31.46,346470,1.14,24.775,266750,0.92,24.775,266640,43.3,NA,NA,NA,NA,6.91,42373,19.6,26,1.9,3.9,NA,NA,NA,NA,6.47,3.35,0.36,4.69,-0.135,1.055,4.165,-0.96,NA,13.97,5.13,13.95,2.84
31.66,348810,31.66,348810,1.04,24.875,267890,0.95,24.875,267780,45.8,NA,NA,NA,NA,6.92,42468,20,25.3,2,3.7,NA,NA,NA,NA,6.48,3.31,0.39,4.7,-0.029,0.902,4.185,-1.3,NA,13.98,4.9,13.96,2.88
31.87,351150,31.87,351150,1.19,24.975,269040,1.05,24.975,268930,44.7,NA,NA,NA,NA,6.93,42564,21,24.9,2.2,3.6,NA,NA,NA,NA,6.49,3.51,0.28,4.71,-0.037,0.979,4.205,-1.14,NA,13.99,4.92,13.97,2.89
32.06,353490,32.06,353490,1.16,25.075,270210,0.98,25.075,270090,44.4,NA,NA,NA,NA,6.95,42755,21.6,24.4,2.3,3.4,NA,NA,NA,NA,6.5,3.64,0.27,4.72,0.042,1.105,4.22,-1.19,NA,14,4.81,13.98,2.99
32.26,355850,32.26,355850,1.17,25.175,271390,1,25.175,271270,44.6,NA,NA,NA,NA,6.96,42850,20.6,25.7,2.1,3.8,NA,NA,NA,NA,6.51,3.33,0.26,4.73,-0.011,1.003,4.225,-1.3,NA,14.01,4.69,13.99,2.84
32.46,358220,32.46,358220,1.46,25.275,272580,0.99,25.275,272460,44.5,NA,NA,NA,NA,6.97,42946,20.9,25.7,2.1,3.8,NA,NA,NA,NA,6.52,3.48,0.36,4.74,0.03,1.043,4.245,-1.2,NA,14.02,4.43,14,2.78
32.66,360610,32.66,360610,1.13,25.375,273780,0.94,25.375,273660,44.2,NA,NA,NA,NA,6.98,43041,21.6,25.6,2.3,3.8,NA,NA,NA,NA,6.53,3.47,0.3,4.75,0.04,1.023,4.265,-1.25,NA,14.03,4.62,14.01,2.93
32.86,363020,32.86,363020,1.47,25.465,274870,0.98,25.465,274750,44,NA,NA,NA,NA,6.99,43137,19.7,25.6,1.9,3.8,NA,NA,NA,NA,6.54,3.42,0.29,4.76,-0.008,1.057,4.285,-1.05,NA,14.04,4.83,14.02,2.83
32.96,364100,32.96,364100,1.27,25.565,276090,1.04,25.565,275960,43.2,NA,NA,NA,NA,7,43232,20.5,24.9,2.1,3.6,NA,NA,NA,NA,6.55,3.45,0.27,4.77,0.004,1.039,4.305,-1.35,NA,14.05,4.5,14.03,3.01
33.16,366530,33.16,366530,1.39,25.665,277310,0.96,25.665,277190,44.5,NA,NA,NA,NA,7.01,43328,20.6,25.6,2.1,3.8,NA,NA,NA,NA,6.56,3.53,0.31,4.78,-0.032,0.899,4.32,-1.1,NA,14.06,4.36,14.04,2.72
33.36,368970,33.36,368970,1.46,25.765,278540,0.99,25.765,278420,46.4,NA,NA,NA,NA,7.02,43423,19.9,25.8,2,3.9,NA,NA,NA,NA,6.57,3.48,0.32,4.79,-0.373,1.02,4.325,-1.24,NA,14.07,4.58,14.05,2.6
33.56,371420,33.56,371420,1.43,25.865,279770,0.95,25.865,279650,47.9,NA,NA,NA,NA,7.03,43519,20.1,24.8,2,3.6,NA,NA,NA,NA,6.58,3.58,0.29,4.8,0.036,0.951,4.345,-1.17,NA,14.08,4.46,14.06,2.63
33.76,373830,33.76,373830,1.35,25.965,281010,0.96,25.965,280880,47,NA,NA,NA,NA,7.04,43614,19.6,25.3,1.9,3.7,NA,NA,NA,NA,6.59,3.6,0.27,4.81,-0.102,1.017,4.365,-1.38,NA,14.09,4.33,14.07,2.58
33.96,376170,33.96,376170,1.27,26.065,282240,0.84,26.065,282120,40.8,NA,NA,NA,NA,7.05,43710,20.7,25.3,2.1,3.7,NA,NA,NA,NA,6.6,3.58,0.23,4.82,-0.007,0.965,4.385,-1.19,NA,14.1,4.11,14.08,2.48
34.16,378470,34.16,378470,1.31,26.165,283470,0.71,26.165,283350,39.2,NA,NA,NA,NA,7.06,43806,20.5,25.3,2.1,3.7,NA,NA,NA,NA,6.61,3.64,0.23,4.83,0.007,0.942,4.405,-1.14,NA,14.11,4.2,14.09,2.41
34.36,380760,34.36,380760,1.22,26.265,284690,0.66,26.265,284570,48.4,NA,NA,NA,NA,7.07,43901,20.5,25.1,2.1,3.6,NA,NA,NA,NA,6.62,3.6,0.27,4.84,0.113,0.96,4.42,-1.25,NA,14.12,3.99,14.1,2.54
34.46,382030,34.46,382030,1.32,26.365,285920,0.8,26.365,285790,45.8,NA,NA,NA,NA,7.08,43997,20,24.6,2,3.5,NA,NA,NA,NA,6.63,3.62,0.18,4.85,-0.081,1.006,4.425,-1.35,NA,14.13,4.31,14.11,2.49
34.66,384370,34.66,384370,1.54,26.465,287130,0.87,26.465,287010,44.8,NA,NA,NA,NA,7.09,44092,20.4,25.2,2.1,3.7,NA,NA,NA,NA,6.64,3.65,0.26,4.86,-0.027,0.961,4.445,-1.39,NA,14.14,3.99,14.12,2.4
34.86,386780,34.86,386780,1.69,26.565,288340,0.83,26.565,288220,46.8,NA,NA,NA,NA,7.1,44188,20.9,25,2.1,3.6,NA,NA,NA,NA,6.65,3.59,0.23,4.87,0.177,0.947,4.48,-1.28,1.32,14.15,4.04,14.13,2.26
35.06,389270,35.26,391840,1.52,26.665,289550,0.53,26.665,289430,52.8,NA,NA,NA,NA,7.11,44284,20.5,25.5,2.1,3.8,NA,NA,NA,NA,6.66,3.61,0.15,4.88,0.162,1.052,4.5,-1.4,1.16,14.17,3.96,14.14,2.22
35.26,391840,35.46,394490,1.47,26.765,290750,0.84,26.765,290630,52.5,NA,NA,NA,NA,7.12,44379,21.3,25.6,2.2,3.8,NA,NA,NA,NA,6.67,3.6,0.23,4.89,-0.319,0.811,4.51,-1.115,1.45,14.18,3.87,14.15,2.41
35.46,394490,35.66,397210,1.75,26.865,291960,0.78,26.865,291840,56.6,NA,NA,NA,NA,7.13,44475,21,25.5,2.2,3.8,NA,NA,NA,NA,6.68,3.62,0.19,4.9,0.087,0.985,4.52,-1.18,1.3,14.19,3.84,14.17,2.28
35.66,397210,35.86,399990,1.71,26.965,293170,0.78,26.965,293050,57.2,NA,NA,NA,NA,7.14,44571,21.3,24.9,2.2,3.6,NA,NA,NA,NA,6.69,3.65,0.21,4.91,-0.026,0.938,4.53,-1.2,1.34,14.2,4.15,14.18,2.48
35.86,399990,35.96,401390,1.87,27.065,294380,0.78,27.065,294260,57.3,NA,NA,NA,NA,7.15,44666,20.2,24.9,2,3.6,NA,NA,NA,NA,6.7,3.57,0.16,4.92,0.014,0.947,4.54,-1.2,1.45,14.21,3.94,14.2,2.2
35.96,401390,36.06,402800,1.62,27.165,295600,0.97,27.165,295480,57.3,NA,NA,NA,NA,7.16,44762,20.5,24.9,2.1,3.6,NA,NA,NA,NA,6.71,3.57,0.23,4.93,-0.052,1.002,4.55,-1.26,1.34,14.22,3.8,14.21,2.32
36.06,402800,36.16,404210,1.56,27.265,296830,0.92,27.265,296710,56.6,NA,NA,NA,NA,7.17,44858,20.1,25.6,2,3.8,NA,NA,NA,NA,6.72,3.54,0.19,4.94,0.011,1.026,4.56,-1.23,1.28,14.23,3.7,14.22,2.2
36.16,404210,36.26,405600,1.85,27.365,298080,0.9,27.365,297950,57.8,NA,NA,NA,NA,7.18,44953,20.8,24.9,2.1,3.6,NA,NA,NA,NA,6.73,3.7,0.22,4.95,-0.103,0.97,4.57,-1.31,1.41,14.24,3.82,14.24,2.4
36.26,405600,36.36,407000,1.52,27.465,299340,0.8,27.465,299210,59.9,NA,NA,NA,NA,7.19,45049,20.6,24.9,2.1,3.6,NA,NA,NA,NA,6.74,3.63,0.25,4.96,-0.043,1.105,4.58,-1.24,1.47,14.25,3.68,14.25,2.11
36.36,407000,36.46,408400,1.7,27.565,300610,0.71,27.565,300480,61.4,NA,NA,NA,NA,7.2,45145,21,25,2.2,3.6,NA,NA,NA,NA,6.75,3.55,0.21,4.97,-0.272,1.011,4.59,-1.24,1.36,14.26,3.67,14.26,2.2
36.46,408400,36.56,409790,1.71,27.665,301890,0.91,27.665,301760,59.1,NA,NA,NA,NA,7.21,45240,20.9,24.7,2.2,3.5,NA,NA,NA,NA,6.76,3.59,0.27,4.98,-0.04,0.957,4.6,-1.12,1.42,14.27,3.76,14.27,2.19
36.56,409790,36.66,411190,1.65,27.765,303160,0.62,27.765,303030,59.4,NA,NA,NA,NA,7.22,45336,20,25.1,2,3.6,NA,NA,NA,NA,6.77,3.59,0.28,4.99,-0.076,1.072,4.61,-1.145,1.41,14.28,3.63,14.28,2.24
36.66,411190,36.76,412580,1.73,27.865,304430,0.83,27.865,304300,52.6,NA,NA,NA,NA,7.23,45432,20.8,24.4,2.1,3.4,NA,NA,NA,NA,6.78,3.54,0.34,5,0.132,1.071,4.62,-1.31,1.25,14.29,3.68,14.29,2.07
36.76,412580,36.86,413950,1.49,28.065,306940,0.86,28.065,306820,52.5,NA,NA,NA,NA,7.24,45527,20.2,25.8,2,3.9,NA,NA,NA,NA,6.79,3.52,0.3,5.01,-0.011,1.041,4.63,-1.23,1.32,14.3,3.55,14.3,1.89
36.86,413950,36.96,415300,1.54,28.165,308170,0.83,28.165,308050,50.1,NA,NA,NA,NA,7.25,45623,20.7,25.4,2.1,3.8,NA,NA,NA,NA,6.8,3.53,0.28,5.02,-0.003,0.987,4.64,-1.21,1.35,14.31,3.48,14.31,2.07
36.96,415300,37.06,416650,1.47,28.265,309390,0.79,28.265,309270,49.3,NA,NA,NA,NA,7.26,45719,20.4,24.8,2.1,3.6,NA,NA,NA,NA,6.81,3.47,0.27,5.03,0.132,0.972,4.65,-1.27,1.27,14.32,3.5,14.32,2.09
37.06,416650,37.16,418020,1.31,28.365,310590,0.8,28.365,310470,48.5,NA,NA,NA,NA,7.27,45814,20.4,25.8,2.1,3.9,NA,NA,NA,NA,6.82,3.58,0.29,5.04,-0.081,0.946,4.66,-1.35,1.43,14.33,3.45,14.33,2.23
37.16,418020,37.26,419420,1.39,28.465,311790,0.76,28.465,311670,48.7,NA,NA,NA,NA,7.28,45910,20.9,25.5,2.1,3.8,NA,NA,NA,NA,6.83,3.61,0.2,5.05,-0.004,1.017,4.67,-1.25,1.32,14.34,3.6,14.34,1.96
37.26,419420,37.36,420850,1.17,28.565,312970,0.78,28.565,312850,49.2,NA,NA,NA,NA,7.29,46006,21,25.7,2.2,3.8,NA,NA,NA,NA,6.84,3.58,0.27,5.07,-0.069,1.027,4.68,-1.17,1.23,14.35,3.61,14.35,2.15
37.36,420850,37.46,422310,1.12,28.665,314140,0.68,28.665,314030,49.5,NA,NA,NA,NA,7.3,46101,20.2,NA,2,NA,NA,NA,NA,NA,6.85,3.47,0.32,5.08,-0.159,1.024,4.69,-1.22,1.21,14.36,3.63,14.36,2.1
37.46,422310,37.56,423780,0.95,28.765,315310,0.67,28.765,315190,49.3,NA,NA,NA,NA,7.31,46197,20.6,25.5,2.1,3.8,NA,NA,NA,NA,6.86,3.53,0.28,5.09,-0.082,1.173,4.7,-1.13,1.27,14.37,3.76,14.38,2.06
37.56,423780,37.66,425260,0.87,28.865,316470,0.64,28.865,316350,54.4,NA,NA,NA,NA,7.32,46293,21,26.7,2.2,4.2,NA,NA,NA,NA,6.87,3.64,0.2,5.1,-0.187,1.037,4.71,-1.185,1.52,14.39,3.65,14.39,2.29
37.66,425260,37.76,426750,0.91,28.965,317620,0.76,28.965,317510,52.7,NA,NA,NA,NA,7.33,46389,20.4,26.2,2.1,4,NA,NA,NA,NA,6.88,3.54,0.24,5.11,-0.139,0.846,4.72,-1.11,1.52,14.4,3.45,14.4,1.97
37.76,426750,37.86,428220,1.21,29.065,318770,0.69,29.065,318660,55,NA,NA,NA,NA,7.34,46484,20.3,25.8,2,3.9,NA,NA,NA,NA,6.89,3.65,0.22,5.12,-0.217,0.835,4.73,-1.27,1.45,14.41,3.4,14.41,2.06
37.86,428220,37.96,429670,1.12,29.165,319920,0.76,29.165,319800,55.8,NA,NA,NA,NA,7.35,46580,21.3,26.2,2.2,4,NA,NA,NA,NA,6.9,3.6,0.28,5.13,-0.175,1.121,4.74,-1.11,1.39,14.42,3.59,14.43,2.03
37.96,429670,38.06,431090,1.13,29.265,321060,0.64,29.265,320940,58,NA,NA,NA,NA,7.36,46676,20.5,26.5,2.1,4.1,NA,NA,NA,NA,6.91,3.5,0.21,5.14,-0.081,0.782,4.75,-1.32,1.42,14.43,3.61,14.46,2.13
38.06,431090,38.26,433840,1.05,29.365,322200,0.58,29.365,322090,60.2,NA,NA,NA,NA,7.37,46771,20.8,25.8,2.1,3.9,NA,NA,NA,NA,6.92,3.59,0.21,5.15,-0.154,0.927,4.76,-1.1,1.46,14.44,3.57,14.47,1.96
38.26,433840,38.46,436510,0.91,29.465,323350,0.53,29.465,323230,60.7,NA,NA,NA,NA,7.38,46867,20.5,25.6,2.1,3.8,NA,NA,NA,NA,6.93,3.56,0.17,5.16,-0.122,0.837,4.77,-1.12,1.48,14.45,3.61,14.48,2.08
